UNITID,LPBOOKSP,LPMEDIAP,LPSERIAP,LEBOOKSP,LEDATABP,LEMEDIAP,LESERIAP,LSALWAGP,LFRNGBNP,LEXMSBBP,LEXMSCSP,LEXMSOTP,LEXOMTLP,LEXPTOTF,LTOTLFTE,LLIBRFTE,LPROFFTE,LPAIDFTE,LSTUDFTE
218487,1,0,0,98,0,0,0,60,23,2,12,1,1,257,4.00,2.00,1.00,1.00,0.00
218520,3,0,0,78,0,5,14,53,22,3,13,7,2,108,5.25,3.00,1.00,0.50,0.75
218539,5,0,0,32,0,55,8,41,0,1,51,1,7,439,6.80,3.00,0.00,2.00,1.80
218645,7,0,0,66,0,17,10,48,18,2,29,0,3,409,15.00,7.00,0.10,5.00,2.90
218654,12,0,0,83,0,0,5,47,19,2,23,0,9,445,10.53,6.00,0.00,4.00,0.53
218663,46,10,2,35,0,2,6,35,14,3,38,1,9,731,187.00,71.00,85.00,0.00,31.00
218672,10,0,0,59,0,5,25,59,22,6,2,5,6,235,8.00,3.00,1.00,1.00,3.00
218681,10,1,0,89,0,0,0,57,27,0,6,0,9,371,5.50,2.00,0.00,1.50,2.00
218690,79,1,6,14,0,0,0,51,29,10,10,0,1,232,4.00,2.00,0.00,1.00,1.00
218706,37,3,0,52,0,7,0,20,6,0,0,5,68,241,1.00,0.00,1.00,0.00,0.00
218724,4,0,0,72,0,13,10,41,16,7,30,4,3,369,31.00,11.00,0.00,16.00,4.00
218733,15,52,0,25,0,0,8,50,20,2,20,1,7,430,25.50,5.00,0.00,5.50,15.00
218742,18,1,0,46,0,21,13,50,22,2,24,0,2,467,27.12,11.00,10.42,5.30,0.40
218751,49,19,0,2,1,0,29,36,9,8,31,2,15,401,22.00,1.00,0.00,0.00,21.00
218821,3,0,0,81,0,6,10,57,9,4,23,0,7,265,5.29,3.00,0.00,1.50,0.79
218830,4,0,0,61,0,21,14,67,3,11,12,0,7,152,10.83,4.03,0.00,6.27,0.53
218858,2,0,0,98,0,0,0,46,20,4,20,0,10,117,4.00,1.00,1.00,0.00,2.00
218885,2,0,0,49,0,28,21,54,20,6,11,1,7,208,23.50,5.00,2.00,12.50,4.00
218894,5,0,0,83,0,5,8,53,21,2,16,0,8,72,8.00,5.00,1.00,2.00,0.00
218919,6,0,0,87,0,0,7,64,0,5,5,17,10,487,7.00,1.00,2.00,0.00,4.00
