UNITID,GRCOHRT,UGENTERN,PGRCOHRT,RRFTCT,RRFTEX,RRFTIN,RRFTCTA,RET_NMF,RET_PCF,RRPTCT,RRPTEX,RRPTIN,RRPTCTA,RET_NMP,RET_PCP,STUFACR
173805,170,567,30,159,0,0,159,81,51,61,0,0,61,23,38,17
173902,601,605,99,547,0,0,547,523,96,,,,,,,10
173911,238,1085,22,309,0,0,309,147,48,102,0,0,102,48,47,14
173920,2073,4012,52,2217,0,0,2217,1656,75,67,0,0,67,39,58,21
173957,22,190,12,0,0,0,0,0,,,,,,,,3
173993,157,469,33,118,0,0,118,78,66,49,0,0,49,28,57,17
174020,102,1629,6,113,0,0,113,73,65,37,0,0,37,16,43,13
174066,6840,12318,56,5920,0,0,5920,5418,92,46,0,0,46,33,72,17
174075,163,819,20,185,0,0,185,129,70,14,0,0,14,8,57,16
174127,163,210,78,154,0,0,154,118,77,0,0,0,0,0,,9
174136,375,2326,16,424,0,0,424,229,54,354,0,0,354,148,42,22
174154,79,182,43,25,0,0,25,18,72,12,0,0,12,9,75,13
174190,,,,33,0,0,33,23,70,11,0,0,11,6,55,11
174233,1999,3156,63,1754,0,0,1754,1356,77,26,0,0,26,15,58,16
174251,290,404,72,267,0,0,267,209,78,2,0,0,2,2,100,11
174321,,,,38,0,0,38,23,61,,,,,,,11
174358,606,1162,52,716,0,0,716,492,69,14,0,0,14,6,43,18
174376,308,2132,14,376,0,0,376,229,61,332,0,0,332,149,45,21
174428,790,4021,20,788,0,0,788,449,57,603,0,0,603,280,46,24
174437,180,286,63,206,0,0,206,157,76,3,0,0,3,1,33,15
174473,232,1138,20,289,0,0,289,188,65,97,0,0,97,43,44,17
174491,388,1656,23,360,0,0,360,290,81,6,0,0,6,5,83,15
174507,12,120,10,0,0,0,0,0,,,,,,,,4
174525,18,37,49,18,0,0,18,6,33,0,0,0,0,0,,10
174570,101,1098,9,94,0,0,94,53,56,27,0,0,27,8,30,20
174604,47,101,47,44,0,0,44,17,39,4,0,0,4,3,75,17
174738,570,1978,29,588,0,0,588,314,53,268,0,0,268,125,47,20
174747,389,416,94,400,0,0,400,340,85,,,,,,,11
174756,355,1455,24,369,0,0,369,230,62,264,0,0,264,119,45,20
174783,783,3489,22,939,0,0,939,580,62,68,0,0,68,27,40,16
174792,410,438,94,414,0,0,414,353,85,,,,,,,11
174817,234,328,71,239,0,0,239,190,79,0,0,0,0,0,,18
174844,755,807,94,729,1,0,728,660,91,,,,,,,12
174862,151,499,30,150,0,0,150,110,73,9,0,0,9,3,33,17
174899,354,681,52,330,0,0,330,268,81,0,0,0,0,0,,10
174914,1348,1529,88,1487,1,0,1486,1260,85,0,0,0,0,0,,14
174978,,,,39,0,0,39,26,67,7,0,0,7,2,29,19
175005,302,626,48,313,0,0,313,239,76,1,0,0,1,1,100,9
175014,95,961,10,0,0,0,0,0,,1,0,0,1,1,100,18
175041,491,1932,25,458,0,0,458,257,56,396,0,0,396,169,43,19
175078,414,3899,11,343,0,0,343,215,63,4,0,0,4,2,50,16
175120,,,,,,,,,,,,,,,,15
175157,131,331,40,115,0,0,115,70,61,3,0,0,3,2,67,20
175227,289,526,55,24,0,0,24,14,58,3,0,0,3,2,67,10
175236,385,1304,30,396,0,0,396,253,64,131,0,0,131,61,47,19
175263,148,957,15,158,0,0,158,104,66,54,0,0,54,22,41,16
175272,1081,1558,69,1260,0,0,1260,950,75,14,0,0,14,8,57,16
175315,634,3083,21,606,0,0,606,366,60,443,0,0,443,204,46,23
175342,376,641,59,390,0,0,390,291,75,11,0,0,11,6,55,15
175421,186,490,38,261,0,0,261,178,68,15,0,0,15,3,20,10
175430,141,505,28,111,0,0,111,77,69,0,0,0,0,0,,21
175494,,,,17,0,0,17,15,88,,,,,,,20
175519,317,636,50,380,0,0,380,243,64,28,0,0,28,7,25,16
175573,579,1294,45,617,0,0,617,426,69,34,0,0,34,7,21,20
175616,250,766,33,184,0,0,184,120,65,8,0,0,8,1,13,10
175643,579,1116,52,619,0,0,619,378,61,31,0,0,31,3,10,17
175652,577,1392,41,716,0,0,716,427,60,54,0,0,54,9,17,19
175698,,,,17,0,0,17,14,82,13,0,0,13,9,69,15
175722,,,,3,0,0,3,3,100,,,,,,,15
175786,1029,3769,27,1628,0,0,1628,984,60,519,0,0,519,155,30,17
175810,1058,2469,43,1061,0,0,1061,590,56,104,0,0,104,20,19,17
175829,1136,1993,57,1268,0,0,1268,827,65,192,0,0,192,35,18,19
175856,766,1296,59,611,0,0,611,473,77,12,0,0,12,8,67,15
175883,720,1695,42,786,0,0,786,414,53,108,0,0,108,21,19,26
175935,441,1689,26,465,0,0,465,304,65,43,0,0,43,12,28,16
175980,231,253,91,164,0,0,164,117,71,0,0,0,0,0,,9
176008,478,1361,35,470,0,0,470,272,58,35,0,0,35,25,71,17
176017,3559,5023,71,2991,5,0,2986,2636,88,33,0,0,33,19,58,16
176035,167,897,19,177,0,0,177,133,75,11,0,0,11,3,27,11
176044,169,650,26,212,0,0,212,125,59,34,0,0,34,2,6,12
176053,433,939,46,418,0,0,418,320,77,4,0,1,5,1,20,13
176062,,,,14,0,0,14,14,100,,,,,,,22
176071,1567,3443,46,1628,1,0,1627,1073,66,344,0,0,344,87,25,21
176080,3372,5483,61,3202,2,0,3200,2604,81,21,0,0,21,13,62,17
176169,960,1350,71,946,0,0,946,596,63,47,0,0,47,5,11,21
176178,1402,2544,55,1573,0,0,1573,933,59,134,0,0,134,45,34,20
176239,822,2742,30,766,1,0,765,464,61,81,0,0,81,13,16,20
176318,122,436,28,22,0,0,22,12,55,40,0,0,40,10,25,6
