UNITID,GRCHRTYR,GRTOTLT,GRGNDRUN,GRGNDRAN,GRGNDRUA,GRGNDRKN
133960,1,134,0,,0,134
133979,1,377,0,,0,377
134079,1,643,0,0,0,643
134097,1,6201,0,0,0,6201
134130,1,6809,0,,0,6809
134237,1,5624,0,15,15,5609
134343,1,586,0,,0,586
134495,1,3338,0,0,0,3338
134510,1,33,0,,0,33
134608,1,1509,0,,0,1509
134811,1,448,0,0,0,448
134945,1,544,0,,0,544
135081,1,611,0,,0,611
135160,1,330,0,,0,330
135188,1,542,0,,0,542
135364,1,2,0,0,0,2
135391,1,1170,0,,0,1170
135717,1,7605,0,,0,7605
135726,1,2042,0,,0,2042
136145,1,157,0,,0,157
136172,1,1864,0,,0,1864
136215,1,647,0,,0,647
136233,1,522,0,,0,522
136330,1,501,0,0,0,501
136358,1,2172,0,,0,2172
136400,1,1466,0,,0,1466
136473,1,981,0,,0,981
136516,1,825,0,,0,825
136774,1,355,0,,0,355
136950,1,538,0,,0,538
137032,1,607,0,,0,607
137078,1,1790,0,,0,1790
137096,1,1919,0,,0,1919
137209,1,1952,0,,0,1952
137272,1,10,0,,0,10
137281,1,644,0,,0,644
137315,1,327,0,,0,327
137351,1,4737,0,,0,4737
137476,1,197,0,,0,197
137546,1,812,0,,0,812
137564,1,1064,0,,0,1064
137759,1,1993,0,,0,1993
137777,1,11,0,,0,11
137847,1,1906,0,,0,1906
137953,1,83,0,,0,83
137962,1,26,0,,0,26
138187,1,5250,0,,0,5250
138275,1,178,0,,0,178
138293,1,177,0,0,0,177
138309,1,237,0,,0,237
138354,1,1283,0,0,0,1283
138558,1,1093,0,,0,1093
138600,1,272,0,,0,272
138716,1,791,0,0,0,791
138761,1,152,0,,0,152
138813,1,429,4,0,4,425
138868,1,321,0,,0,321
138901,1,165,0,,0,165
138947,1,987,0,,0,987
139144,1,534,0,,0,534
139153,1,1,0,,0,1
139199,1,151,0,,0,151
139205,1,152,0,,0,152
139250,1,733,0,,0,733
139311,1,490,0,0,0,490
139366,1,977,0,0,0,977
139393,1,265,0,,0,265
139463,1,866,0,,0,866
139579,1,21,0,,0,21
139621,1,987,0,0,0,987
139630,1,238,0,0,0,238
139658,1,1358,0,,0,1358
139700,1,983,0,,0,983
139719,1,494,0,0,0,494
139755,1,2871,0,,0,2871
139764,1,475,0,,0,475
139861,1,1379,0,,0,1379
139931,1,4477,0,0,0,4477
139940,1,3836,0,,0,3836
139959,1,5401,0,,0,5401
139968,1,763,0,,0,763
140234,1,235,0,,0,235
140252,1,112,0,,0,112
140340,1,40,0,,0,40
140447,1,828,0,,0,828
140553,1,607,0,,0,607
140571,1,28,0,0,0,28
140696,1,331,0,0,0,331
140720,1,101,0,,0,101
140818,1,273,0,,0,273
140872,1,355,0,,0,355
140951,1,2124,1,,1,2123
140960,1,1254,0,0,0,1254
140988,1,317,0,0,0,317
141060,1,531,0,,0,531
141167,1,91,0,,0,91
141185,1,207,0,,0,207
141237,1,218,0,,0,218
141264,1,1491,0,0,0,1491
141325,1,103,0,,0,103
141334,1,2375,0,0,0,2375
141361,1,324,0,,0,324
141486,1,256,0,,0,256
141565,1,358,1,,1,357
141574,1,1923,14,,14,1909
141644,1,449,0,,0,449
141839,1,370,28,,28,342
141981,1,266,4,,4,262
142090,1,32,0,0,0,32
142115,1,2526,0,,0,2526
142276,1,1338,0,,0,1338
142285,1,1632,0,,0,1632
142294,1,237,0,0,0,237
142328,1,512,0,,0,512
142461,1,251,0,,0,251
142522,1,3737,0,,0,3737
142559,1,629,0,0,0,629
142887,1,56,0,,0,56
142957,1,2,0,,0,2
143048,1,632,1,0,1,631
143084,1,697,0,,0,697
143118,1,652,0,,0,652
143288,1,169,0,0,0,169
143358,1,1093,0,0,0,1093
144005,1,76,0,0,0,76
144050,1,1591,8,,8,1583
144281,1,1533,0,,0,1533
144351,1,359,0,,0,359
144740,1,2451,0,,0,2451
144883,1,181,0,,0,181
144892,1,732,0,,0,732
144962,1,477,0,,0,477
144971,1,153,0,,0,153
145336,1,213,0,,0,213
145372,1,200,0,,0,200
145497,1,88,0,,0,88
145600,1,3271,0,,0,3271
145619,1,552,0,0,0,552
145637,1,7581,0,,0,7581
145646,1,424,0,,0,424
145691,1,293,0,,0,293
145725,1,503,0,,0,503
145813,1,3681,0,,0,3681
146339,1,178,0,,0,178
146427,1,347,0,0,0,347
146481,1,360,0,0,0,360
146612,1,642,0,,0,642
146667,1,82,0,,0,82
146719,1,2808,0,,0,2808
147013,1,458,0,,0,458
147129,1,19,0,,0,19
147244,1,443,0,,0,443
147341,1,285,0,,0,285
147369,1,275,0,,0,275
147536,1,313,0,0,0,313
147660,1,589,0,,0,589
147679,1,363,0,0,0,363
147703,1,1784,0,,0,1784
147767,1,1985,5,1,6,1979
147776,1,767,0,,0,767
147828,1,704,0,,0,704
148016,1,112,0,,0,112
148131,1,287,0,,0,287
148405,1,142,0,,0,142
148487,1,881,0,,0,881
148496,1,495,0,0,0,495
148584,1,215,0,,0,215
148627,1,616,0,,0,616
148654,1,295,0,,0,295
148876,1,179,0,,0,179
149222,1,1669,1,,1,1668
149231,1,1921,0,,0,1921
149329,1,20,0,,0,20
149505,1,160,0,,0,160
149514,1,143,0,,0,143
149639,1,21,0,,0,21
149772,1,1461,0,,0,1461
149781,1,588,0,,0,588
150066,1,423,0,0,0,423
150136,1,3906,1,0,1,3905
150145,1,241,5,,5,236
150163,1,1255,0,,0,1255
150172,1,108,0,0,0,108
150400,1,559,0,,0,559
150455,1,355,0,5,5,350
150534,1,537,0,,0,537
150604,1,238,0,0,0,238
150668,1,185,0,0,0,185
150677,1,398,0,,0,398
150756,1,308,0,,0,308
150774,1,215,0,,0,215
150941,1,197,0,,0,197
151102,1,1517,0,,0,1517
151111,1,3836,0,,0,3836
151263,1,1000,0,0,0,1000
151290,1,730,0,,0,730
151306,1,1661,0,,0,1661
151324,1,2433,0,,0,2433
151333,1,480,0,,0,480
151342,1,860,0,,0,860
151351,1,7654,0,,0,7654
151360,1,560,0,,0,560
151379,1,873,0,,0,873
151388,1,346,0,,0,346
151777,1,389,0,,0,389
151786,1,390,0,0,0,390
151801,1,684,0,0,0,684
151810,1,14,0,,0,14
151962,1,22,0,,0,22
152080,1,2046,0,,0,2046
152099,1,86,0,0,0,86
152318,1,543,0,0,0,543
152336,1,339,0,,0,339
152381,1,79,0,0,0,79
152390,1,431,0,0,0,431
152530,1,472,0,,0,472
152567,1,461,0,,0,461
152600,1,862,0,,0,862
152637,1,1876,11,0,11,1865
152673,1,215,0,,0,215
152992,1,210,0,,0,210
153001,1,183,0,0,0,183
153108,1,322,0,,0,322
153126,1,158,0,,0,158
153144,1,374,0,0,0,374
153162,1,287,0,,0,287
153241,1,3,0,,0,3
153250,1,388,0,,0,388
153269,1,767,0,,0,767
153278,1,435,0,0,0,435
153302,1,65,0,,0,65
153320,1,63,0,,0,63
153366,1,256,0,,0,256
153375,1,335,0,0,0,335
153384,1,413,0,,0,413
153427,1,76,0,0,0,76
153603,1,6137,0,0,0,6137
153621,1,202,0,,0,202
153658,1,5222,10,0,10,5212
153825,1,328,0,0,0,328
153834,1,520,0,,0,520
153861,1,20,0,,0,20
153977,1,25,0,,0,25
154004,1,340,0,,0,340
154013,1,237,0,0,0,237
154022,1,3290,0,,0,3290
154095,1,1962,0,,0,1962
154101,1,281,0,0,0,281
154174,1,1,0,,0,1
154235,1,453,0,,0,453
154262,1,3,0,0,0,3
154350,1,348,0,,0,348
154493,1,214,0,0,0,214
154518,1,128,0,,0,128
154527,1,445,0,,0,445
154590,1,231,0,,0,231
154688,1,238,0,,0,238
154712,1,516,0,,0,516
154721,1,207,0,,0,207
154749,1,101,0,,0,101
154855,1,144,0,0,0,144
155007,1,82,0,,0,82
155025,1,663,0,0,0,663
155061,1,931,0,,0,931
155070,1,36,0,,0,36
155089,1,163,2,0,2,161
155140,1,177,0,,0,177
155177,1,139,0,,0,139
155308,1,33,0,,0,33
155317,1,4130,0,,0,4130
155335,1,179,0,,0,179
