UNITID,GRRTTOT,GRRTM,GRRTW,GRRTAN,GRRTAP,GRRTAS,GRRTNH,GRRTBK,GRRTHS,GRRTWH,GRRT2M,GRRTUN,GRRTNR,TRRTTOT,GBA4RTT,GBA5RTT,GBA6RTT,GBA6RTM,GBA6RTW,GBA6RTAN,GBA6RTAP,GBA6RTAS,GBA6RTNH,GBA6RTBK,GBA6RTHS,GBA6RTWH,GBA6RT2M,GBA6RTUN,GBA6RTNR,GBATRRT,PGGRRTT,PGBA6RT,SSGRRTT,SSBA6RT,NRGRRTT,NRBA6RT
214810,26,19,33,,20,20,,20,17,31,50,,0,34,19,23,24,21,27,,20,20,,17,15,29,50,,0,38,25,27,27,18,28,25
214829,10,9,12,,6,6,0,12,0,13,23,20,2,48,5,8,9,8,12,,6,6,0,12,0,12,23,20,2,50,15,14,4,4,10,9
214883,5,8,0,,,,,0,0,0,,,100,11,0,100,100,100,,,,,,,,,,,100,,0,,0,,20,100
214892,88,87,88,,,,,89,100,87,,,,,,,,,,,,,,,,,,,,,100,,100,,44,
214944,73,71,80,,89,88,100,53,77,81,70,,,,,,,,,,,,,,,,,,,,69,,76,,81,
214971,50,64,44,,50,50,,60,67,48,0,50,50,37,45,45,50,64,44,,50,50,,60,67,48,0,50,50,37,67,67,100,100,16,16
215008,79,78,100,,,,,,,79,,,,,,,,,,,,,,,,,,,,,67,,100,,73,
215044,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,38,
215053,60,37,68,50,100,100,,33,33,68,25,40,,20,60,60,60,37,68,50,100,100,,33,33,68,25,40,,20,63,63,69,69,45,45
215062,96,94,98,100,97,97,,92,94,97,97,100,95,,88,95,96,94,98,100,97,97,,92,94,97,97,100,95,,93,93,93,93,97,97
215105,66,61,69,100,86,86,,68,68,65,56,50,65,18,58,65,66,61,69,100,86,86,,68,68,65,56,50,65,18,63,63,66,66,69,69
215114,56,47,65,,75,75,,33,21,62,80,,50,25,32,53,56,47,65,,75,75,,33,21,62,80,,50,25,45,45,63,63,65,65
215239,16,16,16,0,28,28,17,10,14,24,17,14,22,10,,,,,,,,,,,,,,,,,15,,12,,22,
215266,42,37,45,,28,28,,28,27,51,27,58,8,37,39,44,45,41,48,,25,25,,28,33,55,21,69,10,33,32,34,54,58,46,53
215275,39,31,45,,30,30,,13,38,43,21,63,20,51,29,37,39,31,45,,30,30,,13,38,43,21,63,20,51,34,34,40,40,42,42
215284,48,51,45,100,31,33,0,23,24,53,45,45,29,36,36,46,48,51,45,100,33,36,0,23,24,53,48,45,29,36,46,46,51,52,48,48
215293,84,80,87,100,89,89,,79,72,84,84,83,77,12,69,82,84,80,87,100,89,89,,79,72,84,84,83,77,12,77,77,80,80,87,87
215309,14,14,14,0,,,,0,,17,,,,41,,,,,,,,,,,,,,,,,6,,22,,33,
215336,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,92,,92,
215381,57,57,53,,50,50,,46,22,64,22,,0,,,,,,,,,,,,,,,,,,100,,100,,28,
215390,73,78,71,,,,,,,71,100,,,27,,,,,,,,,,,,,,,,,57,,67,,100,
215415,54,56,51,33,63,63,,34,100,61,44,43,,10,,,,,,,,,,,,,,,,,48,,68,,63,
215442,59,49,64,50,93,100,50,56,56,60,34,,50,25,53,58,59,49,64,50,93,100,50,56,56,60,34,,50,25,54,54,63,63,60,60
215530,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,100,,100,
215585,21,20,21,0,30,33,0,12,15,30,19,0,,13,,,,,,,,,,,,,,,,,17,,25,,31,
215594,44,50,43,,,,,0,67,46,,0,,,,,,,,,,,,,,,,,,,50,,40,,50,
215637,61,67,56,,73,73,,46,57,71,64,58,,,87,87,87,89,84,,100,100,,63,100,89,100,100,,,99,98,46,50,0,
215655,65,63,68,100,55,55,,35,0,68,55,68,75,22,50,63,65,63,68,100,55,55,,35,0,68,55,68,75,22,60,60,66,66,71,71
215682,79,79,75,,,,,54,50,84,50,,,,,,,,,,,,,,,,,,,,90,,91,,13,
215691,43,37,47,50,100,100,100,41,42,40,33,100,67,24,37,42,42,37,46,50,100,100,100,41,42,38,33,100,67,24,40,39,46,46,,
215743,72,60,78,50,50,50,,68,63,75,13,50,50,,68,72,72,60,78,50,50,50,,68,63,75,13,50,50,,65,65,79,79,70,70
215770,82,80,84,100,82,82,80,65,79,84,88,71,80,7,76,81,82,80,84,100,82,82,80,65,79,84,88,71,80,7,73,73,85,85,83,83
215798,76,71,83,,100,100,100,40,46,79,75,100,100,11,71,76,76,71,83,,100,100,100,40,46,79,75,100,100,11,70,70,81,81,77,77
215886,77,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,67,,67,,79,
215929,80,76,83,100,76,78,60,71,81,81,54,76,73,,75,79,80,76,83,100,76,78,60,71,80,81,54,76,73,,73,73,79,79,84,84
215947,72,65,74,,100,100,,47,41,75,88,100,67,19,58,70,72,65,74,,100,100,,47,41,75,88,100,67,19,56,56,76,76,81,81
215974,22,0,25,,,,,,,22,,,,,,,,,,,,,,,,,,,,,33,,20,,0,
215992,63,72,60,,,,,44,,76,25,,,,,,,,,,,,,,,,,,,,61,,83,,62,
216010,50,43,57,0,45,50,0,24,41,57,47,30,50,31,38,48,50,43,57,0,45,50,0,24,41,57,47,30,50,31,37,37,56,56,58,58
216038,66,63,69,17,85,83,100,45,59,69,63,56,25,18,50,65,66,63,69,17,85,83,100,45,59,69,63,56,25,18,57,57,69,69,74,74
216047,59,59,,,,,,,33,64,,,,,35,59,59,59,,,,,,,33,64,,,,,75,75,80,80,38,38
216074,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,100,,70,
216083,61,58,64,,,,,33,67,63,75,,0,4,,,,,,,,,,,,,,,,,61,,56,,75,
216223,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,33,,,
216278,76,71,79,0,100,100,,61,79,77,75,25,100,,70,75,76,71,79,0,100,100,,61,79,77,75,25,100,,67,67,80,80,77,77
216287,94,93,94,100,97,97,,94,92,94,96,94,88,,90,93,94,93,94,100,97,97,,94,92,94,96,94,88,,95,95,87,87,94,94
216296,56,56,57,0,60,67,0,31,45,62,45,100,50,,,,,,,,,,,,,,,,,,39,,57,,80,
216311,61,61,,,,,,,,61,,,,39,61,61,61,61,,,,,,,,61,,,,39,33,33,,,69,69
216339,78,75,80,80,80,80,83,67,70,81,67,78,78,12,62,75,78,75,80,80,80,80,83,67,70,81,67,78,78,12,70,70,79,79,82,82
216357,43,38,52,0,100,100,,13,43,53,63,50,,33,36,45,48,44,53,0,100,100,,16,43,55,71,50,,32,31,35,50,54,74,75
216366,68,64,69,,70,70,,48,63,72,67,63,38,23,54,67,68,64,69,,70,70,,48,63,72,67,63,38,23,59,59,69,69,75,75
216436,31,33,0,,,,,20,,45,,,,,,,,,,,,,,,,,,,,,18,,100,,100,
216445,78,78,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,82,,70,,100,
216454,69,69,,,,,,,,70,50,,,,,,,,,,,,,,,,,,,,67,,57,,100,
216524,73,72,74,100,100,100,,76,58,76,58,42,25,,69,72,73,72,74,100,100,100,,76,58,76,58,42,25,,71,71,71,71,75,75
216542,42,40,44,,100,100,,27,33,46,50,100,100,30,33,41,42,40,44,,100,100,,27,33,45,50,100,100,30,32,32,48,50,61,59
216551,28,26,63,,100,100,,2,29,64,11,60,0,,,,,,,,,,,,,,,,,,29,,28,,,
216579,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,9,,79,
216597,91,89,92,,88,88,,89,87,91,87,87,96,8,88,90,91,89,92,,88,88,,89,87,91,87,87,96,8,90,90,91,91,90,90
216667,74,72,76,0,100,100,,63,62,73,75,91,88,19,69,73,74,72,76,0,100,100,,63,62,73,75,91,88,19,70,70,71,71,79,79
216694,60,55,63,,100,100,,20,75,62,47,,,15,58,60,60,55,63,,100,100,,20,75,62,47,,,15,49,49,51,51,83,83
216746,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,100,,80,
216764,72,64,76,,84,85,50,57,58,75,62,72,80,18,51,69,72,64,76,,84,85,50,57,58,75,62,72,80,18,63,63,74,74,75,75
216773,54,100,45,,,,,,,54,,,,,,,,,,,,,,,,,,,,,40,,100,,25,
216807,62,57,68,67,50,50,,42,57,62,100,75,50,,57,62,62,57,68,67,50,50,,42,57,62,100,75,50,,51,51,67,67,70,70
216825,19,24,15,,0,0,,0,19,20,5,,0,17,,,,,,,,,,,,,,,,,14,,15,,26,
216852,68,66,69,50,62,62,,53,45,73,52,56,55,25,56,67,68,66,69,50,62,62,,53,45,73,52,56,55,25,58,58,69,69,73,73
216931,59,56,63,25,72,72,,34,38,64,42,77,57,26,47,58,59,56,63,25,72,72,,34,38,64,42,77,57,26,47,47,69,69,63,63
216940,67,67,,,,,,50,33,74,100,,,,,,,,,,,,,,,,,,,,60,,,,84,
217013,50,33,54,,100,100,,20,22,54,25,75,50,29,32,49,50,33,54,,100,100,,20,22,54,25,75,50,29,36,36,57,57,68,68
217040,89,89,,,,,,,,89,,,,11,0,0,0,0,,,,,,,,0,,,,11,100,0,,,80,0
217059,65,61,68,,57,57,,60,56,67,52,52,100,21,49,63,64,60,68,,57,57,,60,56,67,48,52,100,21,55,55,64,63,71,71
217077,46,40,51,100,61,69,0,42,43,47,47,0,,,,,,,,,,,,,,,,,,,46,,52,,25,
217156,95,94,96,67,97,97,100,87,92,96,96,96,96,,85,93,95,94,96,67,97,97,100,87,92,96,96,96,96,,90,90,96,96,96,96
217165,83,81,86,100,68,68,,77,84,83,75,77,85,13,80,82,83,81,86,100,68,68,,77,84,83,75,77,85,13,72,72,86,86,83,83
217235,59,53,62,38,56,56,,50,52,63,60,43,73,22,47,52,52,47,55,31,51,51,,45,42,58,48,31,71,23,51,44,62,57,68,62
217305,50,50,51,33,73,73,,41,39,53,38,61,60,,,,,,,,,,,,,,,,,,40,,67,,57,
217323,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,84,,71,
217402,86,84,87,100,90,88,100,82,81,87,85,85,72,12,83,85,86,84,87,100,90,88,100,82,81,87,85,85,72,12,82,82,85,85,87,87
217420,44,36,47,29,63,63,50,30,35,49,43,44,75,,21,38,44,36,47,29,63,63,50,30,35,49,43,44,75,,39,39,49,49,50,50
