UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,ADMCON10,ADMCON11,ADMCON12,APPLCN,APPLCNM,APPLCNW,APPLCNAN,APPLCNUN,ADMSSN,ADMSSNM,ADMSSNW,ADMSSNAN,ADMSSNUN,ENRLT,ENRLM,ENRLW,ENRLAN,ENRLUN,ENRLFT,ENRLFTM,ENRLFTW,ENRLFTAN,ENRLFTUN,ENRLPT,ENRLPTM,ENRLPTW,ENRLPTAN,ENRLPTUN,SATNUM,SATPCT,ACTNUM,ACTPCT,SATVR25,SATVR50,SATVR75,SATMT25,SATMT50,SATMT75,ACTCM25,ACTCM50,ACTCM75,ACTEN25,ACTEN50,ACTEN75,ACTMT25,ACTMT50,ACTMT75
115728,1,5,1,5,3,3,3,1,3,3,1,5,921,332,589,0,0,921,332,589,,0,136,47,89,,0,136,47,89,,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,
115755,1,3,1,1,3,3,3,1,3,3,3,3,8505,3425,5080,,0,8350,3366,4984,,0,961,419,542,,0,930,403,527,,0,31,16,15,,0,,,,,,,,,,,,,,,,,,,
117104,1,3,1,3,1,3,5,1,3,3,1,3,145,64,81,,0,137,59,78,,0,75,34,41,,0,73,34,39,,0,2,0,2,,0,0,0,2,3,,,,,,,,,,,,,,,
117140,1,3,1,1,1,3,5,1,3,5,1,3,6172,2384,3788,,0,4537,1666,2871,,0,662,243,419,,0,654,240,414,,0,8,3,5,,0,40,6,9,1,510,560,650,460,555,653,18,22,25,13,21,25,18,21,26
117168,1,3,1,3,5,1,3,1,3,3,1,3,361,84,277,0,0,319,73,246,,0,116,31,85,,0,115,30,85,,0,1,1,0,,0,,,,,,,,,,,,,,,,,,,
117283,1,5,3,3,1,3,3,3,3,3,1,3,21,10,11,,0,21,10,11,,0,8,3,5,,0,5,2,3,,0,3,1,2,,0,,,,,,,,,,,,,,,,,,,
117627,1,3,1,1,3,3,3,1,3,3,3,3,1878,602,1276,,0,1725,568,1157,,0,329,130,199,,0,328,129,199,,0,1,1,0,,0,,,,,,,,,,,,,,,,,,,
117751,1,5,1,1,1,3,3,1,3,5,1,5,848,383,465,,0,663,290,373,,0,327,151,176,,0,316,146,170,,0,11,5,6,,0,,,,,,,,,,,,,,,,,,,
117946,1,5,1,1,1,3,5,1,3,5,1,5,21695,8755,12940,,0,8963,3650,5313,,0,1608,728,880,,0,1607,728,879,,0,1,0,1,,0,300,19,174,11,650,680,720,650,680,740,29,31,32,30,33,35,27,29,31
118198,3,3,3,3,1,1,3,3,1,3,1,3,253,39,201,12,1,238,37,189,12,0,189,30,149,10,0,189,30,149,10,0,,,,,,,,,,,,,,,,,,,,,,,,
118693,1,3,1,1,5,3,3,1,3,5,5,3,3357,1682,1675,,0,2072,999,1073,,0,203,100,103,,0,202,99,103,,0,1,1,0,,0,,,,,,,,,,,,,,,,,,,
119173,1,5,1,3,1,3,3,1,3,5,1,3,2405,114,2291,,0,1822,69,1753,,0,380,27,353,,0,378,27,351,,0,2,0,2,,0,,,,,,,,,,,,,,,,,,,
119270,5,3,1,5,1,1,5,1,1,3,1,3,348,224,124,,0,273,183,90,,0,116,91,25,,0,97,77,20,,0,19,14,5,,0,0,0,0,0,,,,,,,,,,,,,,,
119775,1,3,1,3,3,1,3,1,3,3,3,5,109,58,51,,0,49,20,29,,0,12,5,7,,0,12,5,7,,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,
120166,1,3,1,3,5,5,5,1,3,5,5,3,157,118,39,0,0,109,81,28,,0,17,12,5,,0,17,12,5,,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,
120254,5,5,1,5,1,5,5,1,3,5,1,5,6305,2442,3863,,0,2484,886,1598,,0,531,207,324,,0,531,207,324,,0,,,,,,136,26,82,15,690,720,750,680,710,760,31,32,34,32,35,35,27,30,32
120403,5,3,5,5,5,1,5,1,3,3,1,5,2083,501,1582,0,0,1735,393,1342,,0,314,88,226,,0,314,88,226,,0,0,0,0,,0,0,0,4,1,,,,,,,,,,,,,,,
120537,1,5,1,5,1,3,5,1,3,3,1,5,810,297,513,,0,261,92,169,,0,87,35,52,,0,87,35,52,,0,0,0,0,,0,3,4,1,1,,,,,,,,,,,,,,,
120661,3,3,1,3,3,3,3,3,1,5,3,3,263,52,211,,0,252,51,201,,0,180,38,142,,0,150,30,120,,0,30,8,22,,0,,,,,,,,,,,,,,,,,,,
120768,1,1,1,5,1,3,5,5,3,1,1,5,63,9,54,0,0,25,2,23,,0,3,0,3,,0,0,,0,,0,3,,3,,0,0,0,0,0,,,,,,,,,,,,,,,
120838,1,3,1,1,5,5,5,1,3,3,5,3,9,6,3,,0,3,1,2,,0,3,1,2,,0,3,1,2,,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,
120865,1,3,1,5,5,3,5,1,3,3,5,3,1364,490,874,,0,661,247,414,,0,112,42,70,,0,112,42,70,,0,0,0,0,,0,39,35,8,7,510,570,610,480,510,590,18,20,23,18,20,21,15,19,20
120883,1,5,1,1,1,1,5,1,3,5,1,5,5891,2313,3572,6,0,5492,2154,3333,5,0,847,385,461,1,0,839,382,457,0,0,8,3,4,1,0,224,26,65,8,560,620,680,560,635,743,25,29,33,25,32,34,26,28,34
121150,1,3,1,3,1,3,5,1,3,5,1,5,11466,4190,7276,,0,5585,2161,3424,,0,942,356,586,,0,940,356,584,,0,2,0,2,,0,152,16,127,13,650,700,730,635,690,750,28,31,32,28,32,34,25,28,31
