UNITID,CSTOTLT,CSTOTLM,CSTOTLW,CSAIANT,CSAIANM,CSAIANW,CSASIAT,CSASIAM,CSASIAW,CSBKAAT,CSBKAAM,CSBKAAW,CSHISPT,CSHISPM,CSHISPW,CSNHPIT,CSNHPIM,CSNHPIW,CSWHITT,CSWHITM,CSWHITW,CS2MORT,CS2MORM,CS2MORW,CSUNKNT,CSUNKNM,CSUNKNW,CSNRALT,CSNRALM,CSNRALW
103954,28,0,28,0,0,0,0,0,0,3,0,3,11,0,11,0,0,0,11,0,11,3,0,3,0,0,0,0,0,0
103963,223,203,20,23,17,6,0,0,0,15,15,0,84,79,5,2,2,0,82,76,6,12,9,3,5,5,0,0,0,0
104090,649,109,540,44,2,42,30,10,20,98,15,83,187,36,151,2,0,2,179,30,149,17,2,15,91,14,77,1,0,1
104151,18833,9359,9474,222,87,135,1299,648,651,692,303,389,3910,1612,2298,42,22,20,8916,4359,4557,709,294,415,116,67,49,2927,1967,960
104160,922,302,620,7,0,7,13,4,9,12,6,6,682,216,466,3,1,2,140,51,89,15,5,10,19,10,9,31,9,22
104179,10782,4848,5934,122,38,84,604,260,344,403,170,233,2705,1097,1608,14,8,6,5282,2361,2921,455,197,258,307,143,164,890,574,316
104346,774,253,521,45,11,34,19,8,11,40,14,26,235,70,165,3,1,2,343,123,220,22,5,17,50,16,34,17,5,12
104391,16,0,16,0,0,0,1,0,1,0,0,0,6,0,6,0,0,0,8,0,8,0,0,0,1,0,1,0,0,0
104425,1711,1052,659,5,4,1,49,37,12,135,93,42,518,250,268,11,8,3,890,592,298,70,44,26,23,18,5,10,6,4
104443,27,4,23,2,0,2,1,0,1,4,1,3,9,2,7,0,0,0,10,1,9,0,0,0,1,0,1,0,0,0
104568,213,1,212,3,0,3,3,0,3,9,1,8,77,0,77,0,0,0,95,0,95,12,0,12,14,0,14,0,0,0
104577,656,250,406,44,9,35,10,3,7,10,6,4,169,67,102,3,1,2,376,145,231,14,5,9,15,7,8,15,7,8
104586,621,439,182,1,1,0,35,31,4,7,6,1,72,41,31,2,2,0,413,292,121,31,18,13,21,15,6,39,33,6
104665,7,2,5,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,4,1,3,0,0,0,1,0,1,0,0,0
104708,2042,797,1245,26,9,17,95,37,58,97,42,55,749,265,484,6,5,1,936,382,554,61,25,36,56,26,30,16,6,10
104717,28957,6837,22120,217,58,159,1426,304,1122,5581,1178,4403,5154,1303,3851,142,44,98,13711,3198,10513,861,246,615,1549,381,1168,316,125,191
105145,1029,325,704,13,4,9,48,13,35,115,38,77,461,169,292,2,0,2,338,87,251,36,10,26,14,4,10,2,0,2
105154,1748,711,1037,48,14,34,79,20,59,88,37,51,454,162,292,5,2,3,902,391,511,77,35,42,62,32,30,33,18,15
105206,635,231,404,13,4,9,10,4,6,6,3,3,143,57,86,3,1,2,434,151,283,16,7,9,6,2,4,4,2,2
105215,489,461,28,14,11,3,5,5,0,16,15,1,60,56,4,2,2,0,312,295,17,56,53,3,22,22,0,2,2,0
105297,126,37,89,125,36,89,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105330,7739,2634,5105,199,57,142,190,59,131,256,90,166,1932,552,1380,16,7,9,4317,1472,2845,405,150,255,272,144,128,152,103,49
105349,401,203,198,87,30,57,4,3,1,3,2,1,59,36,23,1,0,1,228,122,106,7,4,3,12,6,6,0,0,0
105367,313,99,214,4,1,3,87,49,38,20,4,16,51,8,43,0,0,0,136,33,103,2,0,2,13,4,9,0,0,0
105428,1214,326,888,28,4,24,42,12,30,100,30,70,631,148,483,0,0,0,350,110,240,36,13,23,25,8,17,2,1,1
105525,2704,1099,1605,56,19,37,76,32,44,94,38,56,1183,442,741,16,9,7,1116,484,632,50,19,31,74,35,39,39,21,18
105534,1227,210,1017,24,7,17,51,11,40,87,15,72,569,86,483,5,0,5,420,81,339,60,8,52,11,2,9,0,0,0
105543,493,66,427,71,4,67,3,1,2,8,2,6,300,42,258,1,0,1,93,16,77,13,1,12,4,0,4,0,0,0
105589,326,88,238,3,0,3,2,0,2,7,1,6,8,4,4,2,1,1,212,53,159,18,8,10,71,20,51,3,1,2
105659,645,602,43,86,70,16,11,11,0,42,40,2,207,198,9,3,3,0,250,237,13,28,26,2,18,17,1,0,0,0
105668,3366,1906,1460,61,23,38,59,32,27,261,126,135,1223,775,448,15,9,6,1439,766,673,128,73,55,180,102,78,0,0,0
105677,38,38,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,36,36,0,0,0,0,0,0,0,0,0,0
105747,916,335,581,34,10,24,27,12,15,30,9,21,202,66,136,0,0,0,544,212,332,41,13,28,24,9,15,14,4,10
105792,375,161,214,10,4,6,8,3,5,54,19,35,221,91,130,1,0,1,57,32,25,9,5,4,14,7,7,1,0,1
105899,130,72,58,1,1,0,2,0,2,15,13,2,32,16,16,1,0,1,68,33,35,5,4,1,3,3,0,3,2,1
106041,856,821,35,42,40,2,17,17,0,22,22,0,252,244,8,13,12,1,373,357,16,83,79,4,53,49,4,1,1,0
106111,20,0,20,0,0,0,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0
106148,1371,553,818,17,6,11,9,4,5,11,4,7,291,103,188,3,0,3,803,333,470,35,15,20,200,86,114,2,2,0
106245,2238,738,1500,16,5,11,60,30,30,480,99,381,61,15,46,0,0,0,1264,445,819,173,60,113,24,9,15,160,75,85
106263,950,287,663,8,2,6,63,18,45,92,19,73,49,13,36,2,0,2,664,215,449,24,8,16,30,6,24,18,6,12
106306,26,23,3,0,0,0,0,0,0,16,14,2,1,1,0,1,1,0,7,7,0,0,0,0,0,0,0,1,0,1
106315,73,4,69,0,0,0,0,0,0,66,3,63,1,0,1,0,0,0,5,1,4,0,0,0,1,0,1,0,0,0
106324,11,0,11,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0
106342,144,71,73,0,0,0,3,1,2,11,9,2,10,5,5,0,0,0,69,28,41,5,3,2,36,16,20,10,9,1
106351,15,10,5,0,0,0,0,0,0,13,9,4,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
106360,14,1,13,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0
106397,6845,3079,3766,51,18,33,163,79,84,313,144,169,594,235,359,2,0,2,5022,2255,2767,269,116,153,61,27,34,370,205,165
106412,401,147,254,0,0,0,3,2,1,356,124,232,11,5,6,0,0,0,17,8,9,5,2,3,0,0,0,9,6,3
106449,790,305,485,4,0,4,5,2,3,40,13,27,37,12,25,1,1,0,673,260,413,21,13,8,8,4,4,1,0,1
106458,5022,1704,3318,17,4,13,47,28,19,594,166,428,160,54,106,2,1,1,3826,1265,2561,104,41,63,95,40,55,177,105,72
106467,2793,1094,1699,16,6,10,54,18,36,145,59,86,250,94,156,5,3,2,2124,818,1306,118,48,70,0,0,0,81,48,33
106485,944,383,561,0,0,0,2,1,1,238,81,157,57,25,32,1,0,1,591,256,335,44,14,30,3,0,3,8,6,2
106494,14,2,12,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,11,1,10,1,1,0,0,0,0,0,0,0
106546,335,32,303,0,0,0,6,2,4,92,8,84,14,2,12,0,0,0,213,19,194,6,1,5,2,0,2,2,0,2
106625,649,281,368,0,0,0,2,1,1,26,10,16,21,6,15,1,0,1,584,260,324,9,1,8,6,3,3,0,0,0
106704,2587,910,1677,13,6,7,50,27,23,320,114,206,131,46,85,1,1,0,1842,613,1229,82,34,48,10,4,6,138,65,73
106713,139,62,77,0,0,0,1,1,0,18,8,10,8,5,3,0,0,0,102,44,58,1,1,0,5,2,3,4,1,3
106795,465,251,214,6,2,4,2,2,0,23,13,10,160,115,45,0,0,0,252,106,146,22,13,9,0,0,0,0,0,0
106810,40,16,24,0,0,0,0,0,0,5,4,1,1,0,1,0,0,0,34,12,22,0,0,0,0,0,0,0,0,0
106883,279,116,163,0,0,0,2,1,1,131,60,71,6,1,5,0,0,0,137,53,84,1,1,0,0,0,0,2,0,2
106892,161,4,157,0,0,0,0,0,0,133,3,130,6,0,6,0,0,0,22,1,21,0,0,0,0,0,0,0,0,0
106908,163,13,150,2,0,2,1,0,1,44,5,39,11,4,7,0,0,0,99,4,95,2,0,2,4,0,4,0,0,0
106980,511,173,338,7,2,5,9,6,3,49,16,33,46,16,30,0,0,0,392,128,264,1,0,1,2,0,2,5,5,0
106999,425,122,303,2,0,2,4,1,3,10,5,5,27,13,14,1,0,1,341,89,252,30,8,22,0,0,0,10,6,4
107044,1254,517,737,4,1,3,19,7,12,49,26,23,49,18,31,2,2,0,1034,407,627,33,15,18,1,1,0,63,40,23
107071,770,257,513,4,2,2,7,3,4,131,36,95,41,17,24,1,1,0,538,174,364,27,13,14,9,3,6,12,8,4
107080,245,105,140,0,0,0,13,3,10,17,8,9,12,3,9,0,0,0,164,76,88,18,6,12,20,9,11,1,0,1
107099,29,0,29,1,0,1,1,0,1,3,0,3,0,0,0,0,0,0,22,0,22,2,0,2,0,0,0,0,0,0
107123,25,1,24,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,24,1,23,0,0,0,0,0,0,0,0,0
107141,537,210,327,11,4,7,5,1,4,19,6,13,37,12,25,1,0,1,406,158,248,25,11,14,10,5,5,23,13,10
107220,136,7,129,7,0,7,6,0,6,6,0,6,25,2,23,0,0,0,92,5,87,0,0,0,0,0,0,0,0,0
107293,40,0,40,2,0,2,0,0,0,2,0,2,7,0,7,0,0,0,27,0,27,2,0,2,0,0,0,0,0,0
107318,381,185,196,6,3,3,4,2,2,200,71,129,9,8,1,0,0,0,159,99,60,0,0,0,0,0,0,3,2,1
107327,353,139,214,0,0,0,2,1,1,101,38,63,28,14,14,0,0,0,217,82,135,4,4,0,1,0,1,0,0,0
107442,10,6,4,0,0,0,0,0,0,9,6,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
107460,445,167,278,2,1,1,6,2,4,9,4,5,39,11,28,0,0,0,357,140,217,23,5,18,2,1,1,7,3,4
107488,124,76,48,1,0,1,3,3,0,6,4,2,37,25,12,1,1,0,73,40,33,2,2,0,1,1,0,0,0,0
107512,364,136,228,0,0,0,1,1,0,17,12,5,22,8,14,0,0,0,304,107,197,12,5,7,0,0,0,8,3,5
107521,418,111,307,0,0,0,4,2,2,107,16,91,27,15,12,1,0,1,259,75,184,20,3,17,0,0,0,0,0,0
107549,444,105,339,5,1,4,5,0,5,7,1,6,9,3,6,0,0,0,418,100,318,0,0,0,0,0,0,0,0,0
107558,155,75,80,1,0,1,3,0,3,12,8,4,19,9,10,0,0,0,63,37,26,7,2,5,11,3,8,39,16,23
107585,764,303,461,0,0,0,8,2,6,39,14,25,67,32,35,0,0,0,602,239,363,33,10,23,4,2,2,11,4,7
107600,146,43,103,0,0,0,0,0,0,141,43,98,3,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
107619,310,127,183,1,1,0,2,2,0,144,57,87,12,5,7,0,0,0,145,58,87,5,3,2,1,1,0,0,0,0
107637,405,128,277,0,0,0,6,3,3,214,50,164,87,32,55,0,0,0,95,43,52,3,0,3,0,0,0,0,0,0
107655,16,0,16,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0
107664,1157,422,735,6,2,4,28,15,13,408,116,292,47,17,30,1,1,0,582,235,347,34,13,21,37,18,19,14,5,9
107725,377,117,260,1,1,0,2,0,2,107,19,88,41,17,24,1,0,1,217,76,141,6,3,3,2,1,1,0,0,0
107743,284,109,175,4,0,4,1,0,1,1,1,0,8,3,5,3,0,3,241,93,148,4,0,4,7,0,7,15,12,3
107789,63,1,62,2,0,2,0,0,0,0,0,0,9,0,9,0,0,0,52,1,51,0,0,0,0,0,0,0,0,0
107831,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0
107840,32,6,26,0,0,0,0,0,0,29,5,24,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
107877,93,43,50,1,0,1,0,0,0,5,5,0,1,0,1,0,0,0,76,30,46,3,2,1,0,0,0,7,6,1
107974,546,194,352,0,0,0,1,0,1,142,30,112,54,31,23,0,0,0,327,125,202,14,3,11,5,3,2,3,2,1
107983,1211,460,751,8,3,5,13,6,7,203,83,120,42,13,29,0,0,0,810,294,516,34,10,24,13,7,6,88,44,44
107992,518,347,171,1,1,0,5,2,3,123,60,63,25,18,7,1,1,0,339,243,96,20,18,2,4,4,0,0,0,0
108065,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108092,1309,573,736,18,9,9,69,40,29,45,14,31,173,77,96,3,1,2,875,366,509,115,63,52,0,0,0,11,3,8
108232,1729,631,1098,9,4,5,105,46,59,70,27,43,113,48,65,1,0,1,250,77,173,33,14,19,380,146,234,768,269,499
108269,16,3,13,0,0,0,8,2,6,0,0,0,1,0,1,0,0,0,7,1,6,0,0,0,0,0,0,0,0,0
108667,332,136,196,0,0,0,131,53,78,40,11,29,74,33,41,2,2,0,51,22,29,15,9,6,10,1,9,9,5,4
108807,1957,721,1236,6,3,3,72,23,49,31,17,14,1244,399,845,2,1,1,489,224,265,61,26,35,51,28,23,1,0,1
108852,159,47,112,1,1,0,2,1,1,16,8,8,23,8,15,1,0,1,52,18,34,10,1,9,0,0,0,54,10,44
108861,21,15,6,0,0,0,4,2,2,8,5,3,2,2,0,0,0,0,6,5,1,0,0,0,0,0,0,1,1,0
108870,82,35,47,1,1,0,3,0,3,6,2,4,7,4,3,0,0,0,24,11,13,5,2,3,2,2,0,34,13,21
108977,52,10,42,0,0,0,0,0,0,6,0,6,35,8,27,0,0,0,11,2,9,0,0,0,0,0,0,0,0,0
