UNITID,PSGRTYPE,PGREVCT,PGEXCLU,PGADJCT,PGCMBAC,PGCMOBA,PGCMTOT,SSREVCT,SSEXCLU,SSADJCT,SSCMBAC,SSCMOBA,SSCMTOT,NRREVCT,NREXCLU,NRADJCT,NRCMBAC,NRCMOBA,NRCMTOT,TTREVCT,TTEXCLU,TTADJCT,TTCMBAC,TTCMOBA,TTCMTOT
386472,1,5,0,5,1,1,2,1,0,1,0,0,0,1,0,1,0,0,0,7,0,7,1,1,2
388520,1,3,0,3,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,5,0,5,2,0,2
392257,1,1641,0,1641,22,866,888,190,0,190,7,115,122,399,0,399,2,49,51,2230,0,2230,31,1030,1061
399869,1,62,1,61,11,35,46,38,0,38,11,19,30,328,4,324,40,216,256,428,5,423,62,270,332
399911,1,34,0,34,30,0,30,17,0,17,14,0,14,76,0,76,71,0,71,127,0,127,115,0,115
401223,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,2,0,2,2,0,2
404338,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,1,1,8,0,8,0,1,1
404994,1,1010,2,1008,0,300,300,12,0,12,0,12,12,306,0,306,0,2,2,1328,2,1326,0,314,314
405058,1,9,0,9,0,0,0,0,0,0,0,0,0,33,0,33,0,0,0,42,0,42,0,0,0
405854,1,40,0,40,21,0,21,0,0,0,0,0,0,8,0,8,0,0,0,48,0,48,21,0,21
406024,1,70,0,70,0,36,36,21,0,21,0,7,7,13,0,13,0,9,9,104,0,104,0,52,52
406033,1,148,0,148,0,61,61,49,0,49,0,20,20,24,0,24,0,11,11,221,0,221,0,92,92
407610,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1
408844,1,258,0,258,38,73,111,29,0,29,8,7,15,36,0,36,6,5,11,323,0,323,52,85,137
409315,1,2033,2,2031,30,491,521,0,0,0,0,0,0,535,2,533,9,148,157,2568,4,2564,39,639,678
409698,1,519,0,519,311,0,311,137,0,137,84,0,84,393,0,393,236,0,236,1049,0,1049,631,0,631
412599,1,348,0,348,7,92,99,128,0,128,4,29,33,106,0,106,1,21,22,582,0,582,12,142,154
413413,1,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,4,0,4,2,0,2
413617,1,28,0,28,0,7,7,0,0,0,0,0,0,11,0,11,0,4,4,39,0,39,0,11,11
414595,1,8,0,8,1,6,7,1,0,1,0,1,1,1,0,1,0,1,1,10,0,10,1,8,9
414878,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
417734,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1
417752,1,12,0,12,5,0,5,0,0,0,0,0,0,1,0,1,1,0,1,13,0,13,6,0,6
418126,1,12,0,12,0,6,6,7,0,7,0,0,0,0,0,0,0,0,0,19,0,19,0,6,6
420024,1,17,0,17,0,7,7,2,0,2,0,2,2,0,0,0,0,0,0,19,0,19,0,9,9
420042,1,7,0,7,1,0,1,0,0,0,0,0,0,8,0,8,1,0,1,15,0,15,2,0,2
420325,1,1,0,1,1,0,1,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,1,0,1
421832,1,46,0,46,7,11,18,14,0,14,6,5,11,21,0,21,5,3,8,81,0,81,18,19,37
421878,1,30,0,30,5,9,14,19,0,19,4,5,9,7,0,7,0,0,0,56,0,56,9,14,23
422695,1,33,0,33,0,21,21,10,0,10,0,6,6,2,0,2,0,2,2,45,0,45,0,29,29
426314,1,156,0,156,22,4,26,19,0,19,4,1,5,356,1,355,64,8,72,531,1,530,90,13,103
430184,1,2,0,2,0,0,0,0,0,0,0,0,0,8,0,8,2,0,2,10,0,10,2,0,2
430670,1,9,0,9,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,3,0,3
431983,1,9,0,9,5,0,5,0,0,0,0,0,0,15,0,15,11,0,11,24,0,24,16,0,16
432384,1,150,0,150,0,93,93,24,0,24,0,17,17,13,0,13,0,7,7,187,0,187,0,117,117
433004,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
433013,1,26,0,26,0,19,19,6,0,6,0,3,3,10,0,10,0,9,9,42,0,42,0,31,31
433174,1,2,0,2,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,3,0,3,0,2,2
433387,1,67,0,67,32,0,32,83,0,83,41,0,41,155,0,155,121,0,121,305,0,305,194,0,194
433420,1,13,0,13,0,5,5,3,0,3,0,2,2,0,0,0,0,0,0,16,0,16,0,7,7
433536,1,29,0,29,12,0,12,2,0,2,0,0,0,1,0,1,1,0,1,32,0,32,13,0,13
433660,1,714,1,713,364,0,364,453,4,449,254,0,254,1445,24,1421,834,0,834,2612,29,2583,1452,0,1452
434584,1,7,0,7,0,3,3,0,0,0,0,0,0,4,0,4,0,2,2,11,0,11,0,5,5
434900,1,125,9,116,15,68,83,0,0,0,0,0,0,0,0,0,0,0,0,125,9,116,15,68,83
434937,1,2,0,2,2,0,2,0,0,0,0,0,0,5,0,5,0,0,0,7,0,7,2,0,2
436429,1,1369,48,1321,221,366,587,229,11,218,53,70,123,442,20,422,98,125,223,2040,79,1961,372,561,933
436614,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,3,0,3,2,0,2
436818,1,96,1,95,64,0,64,27,0,27,15,0,15,97,0,97,64,0,64,220,1,219,143,0,143
436827,1,77,0,77,38,0,38,45,0,45,24,0,24,135,0,135,83,0,83,257,0,257,145,0,145
436836,1,144,0,144,81,0,81,31,0,31,20,0,20,198,0,198,117,0,117,373,0,373,218,0,218
437097,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,7,7,17,0,17,0,7,7
438498,1,3,0,3,3,0,3,1,0,1,1,0,1,6,0,6,6,0,6,10,0,10,10,0,10
438586,1,20,0,20,4,0,4,1,0,1,0,0,0,3,0,3,1,0,1,24,0,24,5,0,5
439190,1,53,0,53,0,16,16,8,0,8,0,0,0,186,0,186,0,66,66,247,0,247,0,82,82
439367,1,300,0,300,0,242,242,52,0,52,0,37,37,0,0,0,0,0,0,352,0,352,0,279,279
439701,1,10,0,10,2,2,4,4,0,4,0,2,2,13,0,13,4,1,5,27,0,27,6,5,11
439862,1,4,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,1,2
439871,1,5,0,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,3,3
439969,1,17,0,17,0,13,13,3,0,3,0,3,3,0,0,0,0,0,0,20,0,20,0,16,16
440396,1,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,17,8,25,40,0,40,17,8,25
440651,1,192,0,192,23,71,94,0,0,0,0,0,0,4,0,4,0,1,1,196,0,196,23,72,95
440794,1,23,0,23,5,5,10,1,0,1,0,0,0,16,0,16,1,3,4,40,0,40,6,8,14
440828,1,3,0,3,3,0,3,1,0,1,0,0,0,4,0,4,1,0,1,8,0,8,4,0,4
441229,1,124,0,124,22,96,118,20,0,20,10,9,19,21,0,21,2,0,2,165,0,165,34,105,139
441690,1,10,0,10,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,1,2,3
441900,1,123,0,123,27,0,27,12,0,12,4,0,4,107,0,107,38,0,38,242,0,242,69,0,69
441937,1,462,0,462,254,0,254,104,0,104,58,0,58,305,0,305,194,0,194,871,0,871,506,0,506
441982,1,10,0,10,10,0,10,11,0,11,10,0,10,55,0,55,54,0,54,76,0,76,74,0,74
442356,1,23,0,23,3,4,7,30,0,30,8,9,17,24,0,24,3,9,12,77,0,77,14,22,36
442426,1,92,0,92,0,42,42,5,0,5,0,2,2,24,0,24,0,10,10,121,0,121,0,54,54
442569,1,704,0,704,39,127,166,44,0,44,8,9,17,117,0,117,33,24,57,865,0,865,80,160,240
442639,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,4,0,4,7,0,7,4,0,4
442842,1,0,0,0,0,0,0,3,0,3,0,2,2,2,0,2,0,1,1,5,0,5,0,3,3
442930,1,239,0,239,14,155,169,9,0,9,3,3,6,143,0,143,2,109,111,391,0,391,19,267,286
443049,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,2,0,2,8,0,8,2,0,2
443058,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0
443331,1,1,0,1,1,0,1,4,0,4,4,0,4,1,0,1,0,0,0,6,0,6,5,0,5
443340,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0
443410,1,41,0,41,16,0,16,53,0,53,34,0,34,99,0,99,60,0,60,193,0,193,110,0,110
443562,1,180,2,178,10,111,121,0,0,0,0,0,0,0,0,0,0,0,0,180,2,178,10,111,121
443599,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
443766,1,4,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,6,0,6,0,0,0
443784,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
444088,1,107,0,107,4,58,62,1,0,1,0,0,0,16,0,16,0,5,5,124,0,124,4,63,67
444255,1,41,0,41,6,30,36,2,0,2,0,0,0,5,0,5,2,2,4,48,0,48,8,32,40
444325,1,10,0,10,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,9,9
444398,1,14,0,14,5,0,5,0,0,0,0,0,0,3,0,3,1,0,1,17,0,17,6,0,6
444413,1,5,0,5,0,4,4,0,0,0,0,0,0,40,0,40,9,19,28,45,0,45,9,23,32
444778,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,3,0,0,0
444787,1,37,0,37,0,19,19,3,0,3,0,2,2,3,0,3,0,0,0,43,0,43,0,21,21
445027,1,414,0,414,29,24,53,9,0,9,0,0,0,52,0,52,1,2,3,475,0,475,30,26,56
445133,1,23,0,23,3,2,5,3,0,3,3,0,3,9,0,9,4,0,4,35,0,35,10,2,12
445188,1,1141,0,1141,789,0,789,255,0,255,188,0,188,386,1,385,299,0,299,1782,1,1781,1276,0,1276
445203,1,343,0,343,5,133,138,130,0,130,2,51,53,98,0,98,0,32,32,571,0,571,7,216,223
445267,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,3,0,0,0
445692,1,84,0,84,48,0,48,43,0,43,27,0,27,23,0,23,6,0,6,150,0,150,81,0,81
445708,1,422,2,420,113,83,196,181,0,181,64,51,115,97,0,97,43,22,65,700,2,698,220,156,376
446048,1,71,0,71,36,0,36,73,0,73,50,0,50,158,0,158,98,0,98,302,0,302,184,0,184
446233,1,34,1,33,3,1,4,9,0,9,2,0,2,9,1,8,1,1,2,52,2,50,6,2,8
446385,1,14,0,14,4,4,8,4,0,4,0,3,3,34,0,34,6,21,27,52,0,52,10,28,38
446394,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,1,4,4,0,4,3,1,4
446525,1,27,0,27,0,19,19,11,0,11,0,9,9,7,0,7,0,6,6,45,0,45,0,34,34
446561,1,1002,0,1002,12,721,733,429,0,429,7,355,362,134,0,134,4,97,101,1565,0,1565,23,1173,1196
446604,1,215,0,215,211,0,211,0,0,0,0,0,0,104,0,104,0,0,0,319,0,319,211,0,211
446640,1,73,0,73,16,0,16,18,0,18,8,0,8,20,0,20,12,0,12,111,0,111,36,0,36
447014,1,39,0,39,0,25,25,2,0,2,0,2,2,1,0,1,0,0,0,42,0,42,0,27,27
