unitid,ASCDEG,BASDEG,MASDEG,CERT1,CERT1a,CERT1b,CERT2,CERT4,PBACERT,PMACERT,DocDegRS,DocDegPP,DocDegOT,SDOCDEG,SMASDEG,SBASDEG,SASCDEG,SBAMACRT,SCERT24,SCERT1a,SCERT1b
111045,0,1,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0
111054,0,,,39,0,39,30,0,,,,,,,,,0,,30,0,39
111081,0,194,144,0,0,0,0,0,0,0,2,0,0,2,144,194,0,0,0,0,0
111188,0,214,18,0,0,0,0,0,0,0,0,0,0,0,18,214,0,0,0,0,0
111391,0,0,87,0,0,0,0,0,0,0,0,238,0,238,87,0,0,0,0,0,0
111434,462,,,75,0,75,84,0,,,,,,,,,329,,74,0,66
111461,3257,,,579,1,578,1699,0,,,,,,,,,2256,,1523,1,523
111513,0,,,139,0,139,52,13,,,,,,,,,0,,62,0,139
111638,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0
111708,0,,,0,0,0,183,0,,,,,,,,,0,,183,0,0
111717,0,,,45,0,45,121,0,,,,,,,,,0,,121,0,45
111726,0,,,61,0,61,114,0,,,,,,,,,0,,114,0,61
111744,0,,,24,0,24,75,0,,,,,,,,,0,,75,0,24
111762,0,,,9,0,9,69,0,,,,,,,,,0,,69,0,9
111799,0,,,13,0,13,114,0,,,,,,,,,0,,114,0,13
111887,2591,,,2393,0,2393,199,2,,,,,,,,,1989,,194,0,1868
111896,774,,,66,0,66,161,0,,,,,,,,,385,,131,0,66
111920,1480,,,412,0,412,928,0,,,,,,,,,1155,,890,0,352
111939,3143,,,587,34,553,901,24,,,,,,,,,2174,,842,23,431
111948,0,1974,603,31,0,31,0,0,0,0,39,318,0,357,571,1868,0,0,0,0,31
111966,21,19,290,1,0,1,0,0,25,59,0,0,0,0,290,19,21,84,0,0,1
112075,0,438,923,0,0,0,0,0,32,0,24,0,0,24,910,438,0,32,0,0,0
112084,3,103,19,0,0,0,5,0,0,0,0,0,0,0,19,103,3,0,5,0,0
112127,0,0,15,0,0,0,0,0,4,0,0,0,0,0,15,0,0,4,0,0,0
112172,2118,,,378,0,378,1820,0,,,,,,,,,1456,,1342,0,343
112181,0,,,44,0,44,20,0,,,,,,,,,0,,20,0,44
112190,2051,,,1655,0,1655,607,2,,,,,,,,,1523,,576,0,1415
112251,0,0,392,0,0,0,0,0,117,0,113,11,0,124,392,0,0,117,0,0,0
112260,0,329,18,0,0,0,0,0,0,0,0,0,0,0,18,329,0,0,0,0,0
112288,0,,,154,0,154,67,0,,,,,,,,,0,,67,0,154
112367,0,,,75,60,15,72,0,,,,,,,,,0,,72,60,15
112385,1407,,,448,0,448,109,0,,,,,,,,,892,,109,0,348
112394,0,96,3,3,0,3,0,0,0,0,0,0,0,0,3,96,0,0,0,0,3
112455,0,,,64,0,64,24,0,,,,,,,,,0,,24,0,64
112525,0,0,290,0,0,0,0,0,0,31,0,813,0,813,290,0,0,31,0,0,0
112561,299,,,92,6,86,34,0,,,,,,,,,236,,33,6,68
112570,26,142,0,0,0,0,0,0,0,0,0,0,0,0,0,142,26,0,0,0,0
112686,678,,,72,0,72,240,0,,,,,,,,,400,,212,0,55
112826,795,,,342,0,342,249,0,,,,,,,,,533,,183,0,268
113096,1429,,,249,0,249,94,0,,,,,,,,,1142,,91,0,183
113111,782,,,216,0,216,463,1,,,,,,,,,581,,445,0,213
113193,2629,,,805,76,729,1249,19,,,,,,,,,1680,,1014,74,617
113218,1009,,,64,0,64,176,0,,,,,,,,,616,,159,0,54
113236,1665,3,0,591,0,591,1288,22,0,0,0,0,0,0,0,3,1343,0,1225,0,355
113333,2225,,,604,0,604,403,0,,,,,,,,,1930,,391,0,500
113449,0,,,38,0,38,114,0,,,,,,,,,0,,114,0,38
113537,0,,,0,0,0,11,0,,,,,,,,,0,,11,0,0
113573,1412,,,225,0,225,726,0,,,,,,,,,1301,,693,0,176
113582,0,26,4,0,0,0,0,0,0,0,0,0,0,0,4,26,0,0,0,0,0
113616,0,3,7,0,0,0,0,0,4,0,0,0,0,0,7,3,0,4,0,0,0
113634,2320,,,884,0,884,662,0,,,,,,,,,1892,,646,0,666
113698,0,393,242,0,0,0,0,0,0,0,0,0,0,0,242,393,0,0,0,0,0
113704,0,0,11,0,0,0,0,0,4,0,0,0,0,0,10,0,0,4,0,0,0
113856,3644,,,1114,150,964,1816,13,,,,,,,,,2266,,1752,145,768
113980,3285,,,0,0,0,489,0,,,,,,,,,2440,,199,0,0
114114,0,0,32,0,0,0,0,0,0,0,0,11,0,11,32,0,0,0,0,0,0
