UNITID,ARANK,SAINSTT,SAINSTM,SAINSTW,SA_9MCT,SA_9MCM,SA_9MCW,SATOTLT,SATOTLM,SATOTLW,SA09MCT,SA09MCM,SA09MCW,SA10MCT,SA10MCM,SA10MCW,SA11MCT,SA11MCM,SA11MCW,SA12MCT,SA12MCM,SA12MCW,SAOUTLT,SAOUTLM,SAOUTLW,SA09MOT,SA09MOM,SA09MOW,SA10MOT,SA10MOM,SA10MOW,SA11MOT,SA11MOM,SA11MOW,SA12MOT,SA12MOM,SA12MOW,SAEQ9OT,SAEQ9OM,SAEQ9OW,SAEQ9AT,SAEQ9AM,SAEQ9AW,SA09MAT,SA09MAM,SA09MAW,SA10MAT,SA10MAM,SA10MAW,SA11MAT,SA11MAM,SA11MAW,SA12MAT,SA12MAM,SA12MAW
197045,7,171,78,93,0,0,0,171,78,93,0,0,0,171,78,93,0,0,0,0,0,0,14274139,6991197,7282942,0,0,0,14274139,6991197,7282942,0,0,0,0,0,0,12846725,6292077,6554648,75127,80668,70480,,,,83474,89631,78311,,,,,,
197133,7,297,157,140,0,0,0,297,157,140,276,141,135,19,16,3,0,0,0,2,0,2,33292453,17825314,15467139,31673689,16632236,15041453,1474984,1193078,281906,0,0,0,143780,0,143780,33109010,17706006,15403003,111478,112777,110021,114760,117959,111418,77631,74567,93969,,,,71890,,71890
197142,7,27,12,15,0,0,0,27,12,15,0,0,0,27,12,15,0,0,0,0,0,0,1326726,597530,729196,0,0,0,1326726,597530,729196,0,0,0,0,0,0,1194053,537777,656276,44224,44815,43752,,,,49138,49794,48613,,,,,,
197151,7,241,139,102,0,0,0,241,139,102,0,0,0,241,139,102,0,0,0,0,0,0,9499311,5920955,3578356,0,0,0,9499311,5920955,3578356,0,0,0,0,0,0,8549380,5328860,3220520,35475,38337,31574,,,,39416,42597,35082,,,,,,
197197,7,115,47,68,0,0,0,115,47,68,115,47,68,0,0,0,0,0,0,0,0,0,8189233,3825227,4364006,8189233,3825227,4364006,0,0,0,0,0,0,0,0,0,8189233,3825227,4364006,71211,81388,64177,71211,81388,64177,,,,,,,,,
197221,7,9,8,1,0,0,0,9,8,1,0,0,0,0,0,0,0,0,0,9,8,1,1152888,1035384,117504,0,0,0,0,0,0,0,0,0,1152888,1035384,117504,864666,776538,88128,96074,97067,88128,,,,,,,,,,128099,129423,117504
197230,7,29,15,14,0,0,0,29,15,14,29,15,14,0,0,0,0,0,0,0,0,0,1837842,1008933,828909,1837842,1008933,828909,0,0,0,0,0,0,0,0,0,1837842,1008933,828909,63374,67262,59208,63374,67262,59208,,,,,,,,,
197285,7,20,9,11,0,0,0,20,9,11,0,0,0,20,9,11,0,0,0,0,0,0,1225741,555809,669932,0,0,0,1225741,555809,669932,0,0,0,0,0,0,1103167,500228,602939,55158,55581,54813,,,,61287,61757,60903,,,,,,
197294,7,164,76,88,0,0,0,164,76,88,0,0,0,164,76,88,0,0,0,0,0,0,17509571,8047324,9462247,0,0,0,17509571,8047324,9462247,0,0,0,0,0,0,15758614,7242592,8516022,96089,95297,96773,,,,106766,105886,107526,,,,,,
197601,7,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,350250,350250,0,0,0,0,0,0,0,350250,350250,0,0,0,0,286505,286505,0,71626,71626,,,,,,,,87563,87563,,,,
197647,7,11,11,0,0,0,0,11,11,0,0,0,0,11,11,0,0,0,0,0,0,0,650100,650100,0,0,0,0,650100,650100,0,0,0,0,0,0,0,585090,585090,0,53190,53190,,,,,59100,59100,,,,,,,
197674,7,10,10,0,0,0,0,10,10,0,0,0,0,10,10,0,0,0,0,0,0,0,266453,266453,0,0,0,0,266453,266453,0,0,0,0,0,0,0,239808,239808,0,23981,23981,,,,,26645,26645,,,,,,,
197692,7,7,7,0,0,0,0,7,7,0,0,0,0,0,0,0,7,7,0,0,0,0,502775,502775,0,0,0,0,0,0,0,502775,502775,0,0,0,0,411270,411270,0,58753,58753,,,,,,,,71825,71825,,,,
197708,7,364,222,142,0,0,0,364,222,142,364,222,142,0,0,0,0,0,0,0,0,0,42154760,26798040,15356720,42154760,26798040,15356720,0,0,0,0,0,0,0,0,0,42154760,26798040,15356720,115810,120712,108146,115810,120712,108146,,,,,,,,,
197735,7,77,77,0,0,0,0,77,77,0,0,0,0,0,0,0,77,77,0,0,0,0,2772000,2772000,0,0,0,0,0,0,0,2772000,2772000,0,0,0,0,2267496,2267496,0,29448,29448,,,,,,,,36000,36000,,,,
197744,7,9,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,9,9,0,427545,427545,0,0,0,0,0,0,0,0,0,0,427545,427545,0,320659,320659,0,35629,35629,,,,,,,,,,,47505,47505,
197814,7,79,31,48,0,0,0,79,31,48,45,17,28,13,2,11,1,0,1,20,12,8,4423218,1791774,2631444,2268510,868794,1399716,757252,111000,646252,64988,0,64988,1332468,811980,520488,4002548,1577679,2424869,50665,50893,50518,50411,51106,49990,58250,55500,58750,64988,,64988,66623,67665,65061
197850,7,82,41,41,0,0,0,82,41,41,49,22,27,6,2,4,0,0,0,27,17,10,4512084,2207220,2304864,2555100,1138584,1416516,371448,112428,259020,0,0,0,1585536,956208,629328,4078555,1956925,2121630,49738,47730,51747,52145,51754,52464,61908,56214,64755,,,,58724,56248,62933
197869,7,1033,514,519,0,0,0,1033,514,519,1010,509,501,2,2,0,5,1,4,16,2,14,75400833,39605443,35795390,73748703,39266505,34482198,112657,112657,0,316107,76480,239627,1223366,149801,1073565,75026194,39542808,35483387,72629,76932,68369,73019,77144,68827,56329,56329,,63221,76480,59907,76460,74901,76683
197887,7,176,66,110,0,0,0,176,66,110,82,28,54,6,1,5,0,0,0,88,37,51,9951463,3726478,6224985,3788457,1287978,2500479,308170,53500,254670,0,0,0,5854836,2385000,3469836,8456937,3124878,5332059,48051,47347,48473,46201,45999,46305,51362,53500,50934,,,,66532,64459,68036
197911,7,63,31,32,0,0,0,63,31,32,50,26,24,6,2,4,6,3,3,1,0,1,3548961,1838141,1710820,2741702,1508363,1233339,337479,127000,210479,391858,202778,189080,77922,0,77922,3424414,1788535,1635879,54356,57695,51121,54834,58014,51389,56247,63500,52620,65310,67593,63027,77922,,77922
197966,7,44,16,28,0,0,0,44,16,28,29,10,19,2,0,2,11,5,6,2,1,1,2240316,845503,1394813,1347059,463299,883760,104608,0,104608,659901,306064,353837,128748,76140,52608,2077566,770764,1306802,47217,48173,46671,46450,46330,46514,52304,,52304,59991,61213,58973,64374,76140,52608
197984,7,84,42,42,0,0,0,84,42,42,0,0,0,75,39,36,0,0,0,9,3,6,4925621,2511190,2414431,0,0,0,4702421,2436790,2265631,0,0,0,223200,74400,148800,4399579,2248911,2150668,52376,53546,51206,,,,62699,62482,62934,,,,24800,24800,24800
197993,7,14,2,12,0,0,0,14,2,12,14,2,12,0,0,0,0,0,0,0,0,0,604650,97200,507450,604650,97200,507450,0,0,0,0,0,0,0,0,0,604650,97200,507450,43189,48600,42288,43189,48600,42288,,,,,,,,,
198011,7,44,21,23,0,0,0,44,21,23,0,0,0,34,16,18,1,0,1,9,5,4,3029011,1620485,1408526,0,0,0,2358015,1258327,1099688,71095,0,71095,599901,362158,237743,2630295,1404113,1226182,59779,66863,53312,,,,69353,78645,61094,71095,,71095,66656,72432,59436
198039,7,68,28,40,0,0,0,68,28,40,32,9,23,6,1,5,1,0,1,29,18,11,3947266,1686014,2261252,1644364,457771,1186593,346277,48674,297603,55267,0,55267,1901358,1179569,721789,3427240,1386254,2040986,50401,49509,51025,51386,50863,51591,57713,48674,59521,55267,,55267,65564,65532,65617
198066,7,51,27,24,0,0,0,51,27,24,51,27,24,0,0,0,0,0,0,0,0,0,2397420,1238675,1158745,2397420,1238675,1158745,0,0,0,0,0,0,0,0,0,2397420,1238675,1158745,47008,45877,48281,47008,45877,48281,,,,,,,,,
198084,7,43,16,27,0,0,0,43,16,27,20,8,12,3,1,2,0,0,0,20,7,13,2243363,883981,1359382,914841,380179,534662,156068,50987,105081,0,0,0,1172454,452815,719639,1934643,765679,1168964,44992,47855,43295,45742,47522,44555,52023,50987,52541,,,,58623,64688,55357
198109,7,33,5,28,0,0,0,33,5,28,0,0,0,2,0,2,3,1,2,28,4,24,2980586,414041,2566545,0,0,0,153767,0,153767,199238,80211,119027,2627581,333830,2293751,2272053,315985,1956068,68850,63197,69860,,,,76884,,76884,66413,80211,59514,93842,83458,95573
198118,7,93,41,52,0,0,0,93,41,52,49,19,30,3,2,1,3,1,2,38,19,19,5264683,2271256,2993427,2390897,911202,1479695,160813,94930,65883,179642,63547,116095,2533331,1201577,1331754,4582574,1949803,2632771,49275,47556,50630,48794,47958,49323,53604,47465,65883,59881,63547,58048,66667,63241,70092
