UNITID,EFDELEV,EFDETOT,EFDEEXC,EFDESOM,EFDENON,EFDEEX1,EFDEEX2,EFDEEX3,EFDEEX4,EFDEEX5
110398,1,1140,17,466,657,15,2,0,0,0
110404,1,2397,,,2397,,,,,
110413,1,3766,181,377,3208,157,20,0,4,0
110422,1,22231,846,15682,5703,733,102,0,11,0
110468,1,3662,3627,35,0,3334,226,0,67,0
110486,1,10972,6038,3962,972,5968,12,0,58,0
110495,1,10481,4673,4993,815,4652,8,0,13,0
110510,1,19514,3479,11874,4161,3317,14,0,148,0
110529,1,29456,7720,20284,1452,7528,47,0,145,0
110538,1,15702,3334,10804,1564,3297,14,0,23,0
110547,1,17837,13048,3776,1013,12935,31,0,82,0
110556,1,25047,3207,17956,3884,3130,14,0,63,0
110565,1,40738,6814,25781,8143,6628,46,0,140,0
110574,1,15189,7069,5815,2305,6882,35,0,152,0
110583,1,40190,10047,24806,5337,9597,71,0,379,0
110592,1,27513,8854,16268,2391,8728,28,0,98,0
110608,1,40108,28617,9659,1832,27620,212,0,785,0
110617,1,32498,13693,16876,1929,13407,73,0,213,0
110635,1,45036,4681,26398,13957,3135,842,0,703,1
110644,1,40050,706,7892,31452,640,26,0,40,0
110653,1,36505,6193,23448,6864,3658,650,0,1871,14
110662,1,46116,5453,25859,14804,4437,551,0,465,0
110671,1,26847,5136,17351,4360,4841,101,0,183,11
110680,1,41885,1070,21222,19593,765,30,0,275,0
110699,1,3165,258,1396,1511,143,101,0,0,14
110705,1,26124,69,3596,22459,55,4,0,9,1
110714,1,19841,5761,11400,2680,5151,154,0,447,9
110778,1,1046,822,218,6,8,0,0,814,0
110875,1,63,,,63,,,,,
110918,1,14,5,4,5,5,0,0,0,0
111045,1,62,8,0,54,6,0,0,2,0
111054,1,94,,,94,,,,,
111081,1,1444,,,1444,,,,,
111188,1,925,45,222,658,45,0,0,0,0
111391,1,758,126,351,281,23,8,0,95,0
111434,1,4845,4011,439,395,3827,0,2,182,0
111461,1,15443,4553,6110,4780,4431,0,106,16,0
111513,1,194,,,194,,,,,
111638,1,246,0,246,0,,,,,
111708,1,198,,,198,,,,,
111717,1,176,,,176,,,,,
111726,1,159,,,159,,,,,
111744,1,135,,,135,,,,,
111762,1,90,,,90,,,,,
111799,1,156,,,156,,,,,
111887,1,18656,7532,7107,4017,7479,0,20,33,0
111896,1,4862,3515,395,952,3510,5,0,0,0
111920,1,11071,8063,1522,1486,7877,8,83,95,0
111939,1,18688,16534,1632,522,16084,0,450,0,0
111948,1,9991,10,185,9796,1,0,0,9,0
111966,1,895,0,285,610,,,,,
112075,1,3710,1909,730,1071,1215,677,9,8,0
112084,1,462,93,319,50,77,15,0,1,0
112127,1,64,11,26,27,1,7,0,3,0
112172,1,9982,7186,1758,1038,7040,0,0,146,0
112181,1,101,,,101,,,,,
112190,1,17447,2277,5437,9733,2261,2,7,7,0
112251,1,1953,394,596,963,316,45,0,33,0
112260,1,1422,,,1422,,,,,
112288,1,430,,,430,,,,,
112367,1,340,,,340,,,,,
112385,1,6792,6501,75,216,6323,42,13,123,0
112394,1,434,101,298,35,91,9,0,1,0
112455,1,132,,,132,,,,,
112525,1,3788,9,0,3779,8,1,0,0,0
112561,1,2063,770,693,600,767,0,3,0,0
112570,1,493,48,0,445,4,44,0,0,0
112686,1,4236,1456,951,1829,1435,3,6,12,0
112826,1,5631,3860,1259,512,3740,0,111,9,0
113096,1,13799,11953,1443,403,11844,0,82,27,0
113111,1,5260,2469,1647,1144,2396,0,70,3,0
113193,1,9661,4999,2248,2414,4944,5,39,11,0
113218,1,7809,3451,2110,2248,3414,0,27,10,0
113236,1,13406,1992,4745,6669,1983,2,7,0,0
113333,1,16706,14210,1909,587,13214,30,269,697,0
113449,1,159,,,159,,,,,
113537,1,13,,,13,,,,,
113573,1,10229,7621,1344,1264,7561,21,8,31,0
113582,1,127,,,127,,,,,
113634,1,17123,11703,3717,1703,11098,0,356,249,0
113698,1,1855,166,628,1061,58,54,1,53,0
113704,1,65,11,41,13,8,3,0,0,0
113856,1,29506,19248,2539,7719,18812,0,201,235,0
113980,1,19675,10947,6118,2610,10525,0,283,139,0
114114,1,198,,,198,,,,,
114123,1,73,0,0,73,,,,,
114266,1,8085,2300,3101,2684,2273,1,9,17,0
114354,1,1764,124,792,848,105,13,0,6,0
114433,1,1376,584,260,532,569,11,0,0,4
114460,1,297,,,297,,,,,
114549,1,1146,189,913,44,42,138,0,9,0
114585,1,375,82,293,0,29,50,0,3,0
114637,1,58,,,58,,,,,
114716,1,12438,7377,1684,3377,6850,100,140,287,0
114734,1,64,7,0,57,3,4,0,0,0
114761,1,59,,,59,,,,,
114789,1,20435,14245,3793,2397,13826,0,372,47,0
114813,1,3524,407,1099,2018,384,20,0,1,2
114840,1,2191,1345,328,518,338,741,0,266,0
114859,1,17813,6946,7403,3464,6925,6,15,0,0
114938,1,4538,2004,1335,1199,2003,0,1,0,0
114947,1,104,,,104,,,,,
115001,1,11398,2712,4735,3951,2598,0,75,39,0
115010,1,305,0,305,0,,,,,
115083,1,2425,325,1027,1073,216,80,0,29,0
115126,1,10189,5846,2958,1385,5671,15,5,155,0
115214,1,194,7,15,172,6,1,0,0,0
115296,1,13023,4062,4602,4359,3961,0,49,52,0
115357,1,116,,,116,,,,,
115393,1,9808,4203,2372,3233,4149,0,35,19,0
115409,1,905,,,905,,,,,
115658,1,99,,,99,,,,,
115728,1,1015,0,403,612,,,,,
115746,1,908,,,908,,,,,
115755,1,5908,1923,3740,245,1844,68,0,11,0
115773,1,352,352,0,0,335,11,0,5,1
115861,1,7225,3780,2689,756,3587,0,191,2,0
115931,1,693,0,12,681,,,,,
116226,1,113,,,113,,,,,
116350,1,158,,,158,,,,,
116439,1,11045,3715,4910,2420,3554,0,50,111,0
116563,1,226,0,216,10,,,,,
116846,1,124,75,6,43,42,33,0,0,0
117052,1,6329,2507,1804,2018,2415,0,88,4,0
117104,1,551,202,155,194,99,91,0,8,4
117140,1,6201,678,985,4538,626,6,0,3,43
117168,1,766,10,496,260,0,5,5,0,0
117195,1,2024,1189,330,505,1085,33,59,12,0
117238,1,82,,,82,,,,,
117247,1,8168,5839,1421,908,5379,0,268,192,0
117274,1,1610,982,259,369,972,0,6,4,0
117283,1,49,15,30,4,15,0,0,0,0
117520,1,607,82,510,15,61,12,0,9,0
117557,1,370,,,370,,,,,
117575,1,180,115,19,46,68,40,0,7,0
117627,1,1738,0,0,1738,,,,,
117636,1,4390,505,958,2927,433,61,0,11,0
117645,1,21761,13372,6805,1584,13169,0,184,19,0
117672,1,1564,625,863,76,433,191,1,0,0
117690,1,6815,5365,1087,363,5152,0,159,54,0
117706,1,15148,11660,2310,1178,11359,0,186,115,0
117715,1,4565,4110,275,180,3964,0,110,36,0
117724,1,9822,6952,971,1899,6778,0,92,82,0
117733,1,14018,10022,2315,1681,9884,0,62,76,0
117751,1,2435,695,19,1721,376,296,0,22,1
117788,1,12747,10771,1367,609,10337,0,212,222,0
117803,1,180,,,180,,,,,
117867,1,8840,7369,1031,440,7128,0,133,108,0
117894,1,7859,4631,2254,974,4547,0,78,6,0
117946,1,10184,1017,4981,4186,898,100,1,18,0
117955,1,272,0,245,27,,,,,
118134,1,93,,,93,,,,,
118143,1,103,,,103,,,,,
118161,1,76,,,76,,,,,
118198,1,555,0,323,232,,,,,
118347,1,4213,2711,974,528,2691,4,16,0,0
118541,1,514,84,337,93,80,4,0,0,0
118684,1,3269,1649,578,1042,1614,0,19,16,0
118693,1,745,,,745,,,,,
118718,1,9282,5732,2512,1038,5605,0,116,11,0
118772,1,6289,5416,407,466,5133,0,165,118,0
118888,1,817,63,754,0,56,7,0,0,0
118912,1,11125,9772,1027,326,9473,0,224,75,0
118930,1,5910,4640,870,400,4559,10,1,70,0
118958,1,81,,,81,,,,,
118976,1,14642,6373,5985,2284,6319,0,51,3,0
118994,1,346,,,346,,,,,
119058,1,713,194,382,137,51,89,0,44,10
119067,1,6828,3099,1803,1926,3018,0,59,22,0
119137,1,12709,8429,3265,1015,8390,14,25,0,0
119164,1,25540,398,2219,22923,398,0,0,0,0
119173,1,2625,755,1440,430,711,43,0,1,0
119216,1,14035,305,2006,11724,296,0,0,9,0
119270,1,777,171,55,551,58,77,0,35,1
119331,1,4481,2794,935,752,2760,0,30,4,0
119553,1,1201,189,1012,0,120,66,0,3,0
119605,1,17135,11960,1745,3430,9717,2208,0,35,0
119678,1,2787,1358,0,1429,236,981,0,111,30
119775,1,378,20,57,301,13,7,0,0,0
119951,1,221,,,221,,,,,
120069,1,190,0,190,0,,,,,
120078,1,384,10,374,0,10,0,0,0,0
120087,1,171,0,171,0,,,,,
120166,1,57,1,0,56,0,0,0,1,0
120184,1,203,5,126,72,5,0,0,0,0
120254,1,1964,,,1964,,,,,
120290,1,8267,2193,3164,2910,2113,0,47,33,0
120342,1,16779,13184,2768,827,12372,104,25,683,0
120403,1,1252,0,1252,0,,,,,
120421,1,6438,5292,751,395,5278,10,4,0,0
120537,1,1138,551,101,486,429,121,1,0,0
120661,1,735,0,735,0,,,,,
120698,1,1149,417,4,728,313,99,0,5,0
120768,1,1175,757,129,289,735,22,0,0,0
120795,1,97,97,0,0,62,34,0,1,0
120838,1,25,0,25,0,,,,,
120865,1,829,2,504,323,2,0,0,0,0
120883,1,6066,24,0,6042,19,5,0,0,0
120953,1,4152,2290,142,1720,2242,0,20,28,0
