UNITID,EFFYDLEV,EFYDETOT,EFYDEEXC,EFYDESOM,EFYDENON
129695,1,6294,4166,1840,288
129729,1,6334,2281,2884,1169
129756,1,3093,1496,1407,190
129774,1,573,1,86,486
129808,1,3990,1578,1925,487
129923,1,965,,,965
129932,1,1443,,,1443
129941,1,9287,1771,4873,2643
130004,1,5922,3604,1906,412
130040,1,1622,849,555,218
130110,1,290,0,17,273
130174,1,2324,0,0,2324
130183,1,31732,30519,758,455
130217,1,1472,754,547,171
130226,1,10072,1332,5866,2874
130253,1,11413,1829,6043,3541
130314,1,2502,278,754,1470
130396,1,7949,4092,2900,957
130493,1,10270,1480,4476,4314
130509,1,609,,,609
130590,1,2240,,,2240
130606,1,4622,2344,1806,472
130624,1,1095,,,1095
130697,1,3904,301,449,3154
130776,1,5567,569,3277,1721
130794,1,15828,158,1494,14176
130837,1,67,,,67
130873,1,523,0,286,237
130907,1,15960,1561,11904,2495
130934,1,5770,415,3300,2055
130943,1,25903,1922,18627,5354
130989,1,1303,541,565,197
131061,1,278,,,278
131113,1,19295,14320,3341,1634
131159,1,16934,3318,4314,9302
131283,1,5410,283,2052,3075
131399,1,4527,12,1723,2792
131405,1,90,,,90
131450,1,1606,144,908,554
131469,1,29905,6862,4719,18324
131496,1,23948,4715,9241,9992
131520,1,12857,271,10587,1999
131803,1,634,630,4,0
131830,1,38,,,38
131876,1,2111,626,1054,431
131973,1,573,198,375,0
132374,1,4452,7,0,4445
132408,1,523,390,115,18
132471,1,8717,1817,1444,5456
132602,1,2886,55,2571,260
132657,1,3757,714,1797,1246
132675,1,125,,,125
132693,1,17809,6490,6509,4810
132709,1,45451,12857,21578,11016
132842,1,1183,163,681,339
132851,1,7685,2797,3616,1272
132879,1,167,0,78,89
132903,1,82075,18249,50205,13621
132976,1,582,,,582
133021,1,2310,571,1070,669
133155,1,972,,,972
133386,1,17166,6382,6104,4680
133465,1,834,170,210,454
133492,1,2088,,,2088
133508,1,19359,6177,8474,4708
133526,1,1347,43,1077,227
133553,1,10690,88,2063,8539
133650,1,10142,76,8428,1638
133669,1,36580,6568,23839,6173
133702,1,32217,15757,10118,6342
133711,1,2815,93,898,1824
133809,1,599,27,140,432
133845,1,1049,0,1049,0
133854,1,547,0,547,0
133863,1,724,0,724,0
133872,1,2119,534,1117,468
133881,1,9867,2763,160,6944
133942,1,82,,,82
133951,1,71842,20097,35178,16567
133960,1,1513,387,651,475
133979,1,1171,0,517,654
133997,1,612,,,612
134024,1,84,,,84
134079,1,3747,373,2031,1343
134097,1,51109,8020,35562,7527
134130,1,62839,13549,23931,25359
134228,1,43,,,43
134237,1,38302,32389,5913,0
134291,1,888,,,888
134307,1,1148,,,1148
134343,1,6219,1614,2463,2142
134422,1,28,3,3,22
134495,1,36666,17412,11592,7662
134510,1,256,197,20,39
134529,1,639,,,639
134574,1,266,,,266
134608,1,20608,8530,7174,4904
134714,1,310,,,310
134811,1,1557,587,0,970
134945,1,5152,1032,2307,1813
135081,1,32382,16149,568,15665
135142,1,473,0,0,473
135160,1,3870,1719,1326,825
135179,1,997,23,0,974
135188,1,5739,3143,1906,690
135267,1,1395,46,0,1349
135276,1,2172,,,2172
135294,1,1216,,,1216
135337,1,156,,,156
135364,1,893,856,31,6
135391,1,11562,4796,4612,2154
135407,1,1544,,,1544
135522,1,481,,,481
135559,1,167,,,167
135610,1,175,33,105,37
135647,1,1531,,,1531
135717,1,76052,29311,32148,14593
135726,1,21749,1680,12201,7868
135735,1,3319,,,3319
136109,1,211,,,211
136145,1,1735,784,537,414
136172,1,19743,4828,10477,4438
136215,1,23662,7303,5305,11054
136233,1,6418,2397,2644,1377
136303,1,356,,,356
136330,1,4299,358,1373,2568
136358,1,35435,18249,12127,5059
136400,1,11963,5458,4688,1817
136473,1,11534,4007,4403,3124
136491,1,1062,280,10,772
136516,1,12672,5829,4761,2082
136659,1,550,,,550
136701,1,147,4,82,61
136765,1,637,,,637
136774,1,1693,1,1692,0
136826,1,1122,,,1122
136950,1,3213,,,3213
137023,1,761,,,761
137032,1,14555,10513,3071,971
137078,1,33314,17371,10131,5812
137087,1,1156,387,0,769
137096,1,17038,4337,7390,5311
137120,1,1992,,,1992
137209,1,21370,9684,7403,4283
137245,1,2570,22,0,2548
137272,1,52,6,0,46
137281,1,8311,3271,2837,2203
137315,1,3651,1196,1418,1037
137351,1,58826,12099,36137,10590
137476,1,7295,2088,1595,3612
137546,1,4547,364,2326,1857
137564,1,11029,3077,2986,4966
137591,1,437,,,437
137713,1,288,,,288
137759,1,15996,8302,6061,1633
137777,1,34,,,34
137801,1,776,,,776
137847,1,11819,48,5586,6185
137856,1,259,,,259
137865,1,422,,,422
137953,1,490,207,225,58
137962,1,230,84,92,54
138187,1,58953,33930,19362,5661
138275,1,988,334,506,148
138284,1,429,,,429
138293,1,1049,64,783,202
138309,1,14280,9388,4307,585
138354,1,16786,8789,7230,767
138372,1,2116,0,0,2116
138479,1,1364,13,0,1351
138488,1,2938,0,25,2913
138497,1,576,,,576
138558,1,4506,643,2325,1538
138600,1,1217,10,187,1020
138655,1,897,0,897,0
138664,1,94,0,94,0
138682,1,3764,2498,620,646
138716,1,7574,2328,4078,1168
138761,1,312,68,201,43
138813,1,989,,,989
138822,1,1015,,,1015
138840,1,5280,2789,1411,1080
138868,1,2079,618,169,1292
138901,1,2466,1186,957,323
138929,1,315,0,130,185
138938,1,614,,,614
138947,1,4306,106,3046,1154
138956,1,5404,1740,1113,2551
139144,1,2467,155,635,1677
139153,1,488,267,215,6
139199,1,3399,1674,757,968
139205,1,1013,89,613,311
139250,1,3970,955,2133,882
139278,1,9047,3492,2330,3225
139311,1,8179,3146,4477,556
139348,1,230,35,96,99
139357,1,4312,1441,1600,1271
139366,1,9370,2564,5072,1734
139384,1,8484,4292,1679,2513
139393,1,1003,0,11,992
139463,1,5271,585,2483,2203
139506,1,142,,,142
139579,1,1251,229,233,789
139621,1,2457,967,1187,303
139630,1,990,36,406,548
139658,1,16112,1154,11057,3901
139700,1,6759,3178,1664,1917
139719,1,3083,391,2054,638
139746,1,83,,,83
139755,1,52051,25399,13752,12900
139764,1,3893,1616,1690,587
139861,1,7823,1410,3756,2657
139931,1,31296,5776,20939,4581
139940,1,43099,5908,30210,6981
139959,1,44180,1821,17489,24870
139968,1,3680,954,2167,559
139986,1,7495,4186,1577,1732
139995,1,710,400,200,110
140003,1,321,,,321
140012,1,11022,3728,3135,4159
140146,1,252,252,0,0
140234,1,763,29,454,280
140243,1,6979,1403,1823,3753
140252,1,3345,283,1772,1290
140331,1,12892,3999,3787,5106
140340,1,1101,738,309,54
140447,1,10454,2262,3353,4839
140553,1,2924,392,0,2532
140562,1,832,90,2,740
140571,1,104,57,47,0
140678,1,3585,1035,993,1557
140696,1,2177,42,590,1545
140720,1,302,6,80,216
140818,1,2632,1094,921,617
140827,1,112,,,112
140872,1,1321,214,643,464
140942,1,5445,1873,1450,2122
140951,1,17530,1715,8498,7317
140960,1,3766,645,2342,779
140988,1,1786,651,555,580
141006,1,2479,677,693,1109
141015,1,144,0,0,144
141060,1,2663,209,1019,1435
141167,1,1656,601,1055,0
141185,1,2207,1388,311,508
141237,1,3023,1362,452,1209
141255,1,5573,1595,1056,2922
141264,1,13772,5101,6110,2561
141325,1,826,227,350,249
141334,1,15339,6613,7295,1431
141361,1,1648,356,179,1113
141486,1,2638,776,1227,635
141565,1,3739,1491,1942,306
141574,1,21745,5031,14592,2122
141608,1,122,,,122
141644,1,5796,979,1635,3182
141680,1,4598,3238,1079,281
141796,1,9278,6910,1789,579
141802,1,1718,998,407,313
141811,1,9733,7552,1846,335
141839,1,3592,2338,902,352
141981,1,4055,3012,996,47
141990,1,3755,2603,602,550
142054,1,737,49,349,339
142090,1,94,0,1,93
142115,1,32335,9376,11376,11583
142179,1,3225,583,1011,1631
142276,1,14674,2678,6022,5974
142285,1,13007,1914,4069,7024
142294,1,1192,,,1192
142328,1,4426,1174,1657,1595
142407,1,154,,,154
142443,1,5720,1557,2894,1269
142461,1,8675,695,716,7264
142489,1,82,,,82
142522,1,58610,31375,22047,5188
142559,1,14386,2234,3328,8824
142832,1,2518,765,1128,625
142887,1,147,0,105,42
142957,1,27,27,0,0
143048,1,3843,241,3119,483
143084,1,2446,0,0,2446
143118,1,7114,2040,997,4077
143215,1,14474,2265,3532,8677
143233,1,98,48,31,19
143279,1,5789,1306,1834,2649
143288,1,467,69,30,368
143297,1,260,47,110,103
143358,1,6112,1258,2765,2089
143376,1,331,,,331
143464,1,163,0,40,123
143473,1,58,,,58
143482,1,36,,,36
143491,1,47,,,47
143552,1,70,,,70
143613,1,2275,812,927,536
143659,1,246,70,92,84
143853,1,3111,,,3111
143978,1,1393,56,1017,320
144005,1,3050,583,1113,1354
144014,1,427,317,110,0
144050,1,20814,1363,932,18519
144157,1,2904,1110,564,1230
144166,1,9601,5137,2272,2192
144175,1,3075,1139,531,1405
144184,1,7908,2584,912,4412
144193,1,7526,2005,1100,4421
144209,1,8248,5165,2070,1013
144218,1,11449,4656,1911,4882
144281,1,7186,0,0,7186
144351,1,7505,3102,4149,254
144564,1,3196,504,914,1778
144573,1,214,,,214
144740,1,25050,6221,16000,2829
144795,1,587,,,587
144865,1,35659,13582,9885,12192
144883,1,609,,,609
144892,1,10588,2080,2770,5738
144944,1,12559,5601,4500,2458
144962,1,3876,377,2477,1022
144971,1,540,,,540
145099,1,413,0,362,51
145239,1,531,,,531
145275,1,324,119,125,80
145309,1,63,,,63
145336,1,5304,1163,1964,2177
145354,1,61,,,61
145372,1,1330,454,547,329
145406,1,810,,,810
145424,1,100,,,100
145433,1,155,,,155
145497,1,214,12,96,106
145521,1,2754,291,769,1694
145558,1,2283,174,1495,614
145600,1,37397,8031,26634,2732
145619,1,5369,2213,2281,875
145628,1,614,,,614
145637,1,62303,14408,40860,7035
145646,1,1685,0,161,1524
145682,1,10381,3730,3412,3239
145691,1,1195,141,77,977
145707,1,1442,172,485,785
145725,1,7235,1176,2898,3161
145813,1,22159,1393,13313,7453
145831,1,3757,619,1224,1914
145886,1,135,,,135
146205,1,6406,701,1548,4157
146278,1,2489,787,1054,648
146296,1,20068,3367,7223,9478
146339,1,1300,164,853,283
146348,1,3654,315,1049,2290
146366,1,5512,851,1440,3221
146418,1,3500,821,1159,1520
146427,1,1182,,,1182
146454,1,67,0,0,67
146472,1,20056,9495,5642,4919
146481,1,1794,0,105,1689
146490,1,433,433,0,0
146506,1,8533,919,1912,5702
146533,1,178,0,132,46
146603,1,5436,613,1622,3201
146612,1,7779,2291,4519,969
146667,1,593,174,100,319
146685,1,8495,2376,2360,3759
146700,1,1639,,,1639
146719,1,19998,3543,5604,10851
146728,1,169,0,91,78
146755,1,195,10,95,90
146807,1,80,,,80
146816,1,447,383,39,25
146977,1,218,177,41,0
147004,1,12879,2224,3460,7195
147013,1,2099,513,767,819
147031,1,84,5,43,36
147129,1,626,175,418,33
147244,1,2124,66,1335,723
147341,1,781,,,781
147369,1,2991,1076,159,1756
147378,1,17409,4685,5369,7355
147396,1,80,,,80
147411,1,5414,274,1438,3702
147536,1,10068,5332,3521,1215
147590,1,664,25,485,154
147642,1,66,,,66
147660,1,3000,205,763,2032
147679,1,3044,99,1661,1284
147697,1,336,0,40,296
147703,1,18324,4070,11669,2585
147767,1,26862,1721,2591,22550
147776,1,7862,3235,4224,403
147800,1,13820,6454,3256,4110
147819,1,65,,,65
147828,1,3983,1343,1600,1040
147916,1,8533,2566,2937,3030
148007,1,5482,1612,1774,2096
148016,1,361,1,162,198
