UNITID,BAREVCT,BAEXCLU,BAAC150,BANC100,BAGR100,BANC150,BAGR150,BAAEXCL,BAAC200,BANC200A,BASTEND,BANC200,BAGR200,L4REVCT,L4EXCLU,L4AC150,L4NC100,L4GR100,L4NC150,L4GR150,L4AEXCL,L4AC200,L4NC200A,L4STEND,L4NC200,L4GR200
231688,,,,,,,,,,,,,,24,0,24,22,92,22,92,0,24,0,0,22,92
231697,,,,,,,,,,,,,,385,0,385,88,23,140,36,0,385,7,16,147,38
231712,1228,2,1226,862,70,979,80,0,1226,1,2,980,80,,,,,,,,,,,,,
231873,,,,,,,,,,,,,,148,0,148,50,34,69,47,0,148,3,5,72,49
231882,,,,,,,,,,,,,,345,0,345,88,26,152,44,0,345,7,13,159,46
232025,285,0,285,130,46,154,54,0,285,2,0,156,55,,,,,,,,,,,,,
232043,240,0,240,114,48,145,60,0,240,2,0,147,61,,,,,,,,,,,,,
232052,,,,,,,,,,,,,,57,0,57,15,26,21,37,0,57,2,2,23,40
232089,498,1,497,96,19,158,32,0,497,1,0,159,32,,,,,,,,,,,,,
232186,3046,1,3045,1474,48,2180,72,0,3045,73,46,2253,74,,,,,,,,,,,,,
232195,,,,,,,,,,,,,,799,0,799,176,22,320,40,0,799,23,43,343,43
232256,322,1,321,200,62,228,71,0,321,0,0,228,71,,,,,,,,,,,,,
