UNITID,FACSTAT,SISTOTL,SISPROF,SISASCP,SISASTP,SISINST,SISLECT,SISNORK
114549,0,49,0,0,0,0,0,49
114716,0,171,0,0,0,171,0,0
114789,0,364,0,0,0,364,0,0
114813,0,109,16,38,40,15,0,0
114831,0,1,0,0,0,1,0,0
114840,0,52,15,24,11,2,0,0
114859,0,316,0,0,0,316,0,0
114938,0,71,0,0,0,71,0,0
115001,0,207,0,0,0,207,0,0
115010,0,19,0,0,0,0,0,19
115083,0,52,30,13,2,3,4,0
115126,0,131,0,0,0,131,0,0
115214,0,11,1,4,4,0,1,1
115296,0,284,0,0,0,284,0,0
115393,0,163,0,0,0,163,0,0
115409,0,111,47,25,20,15,0,4
115728,0,33,7,8,16,2,0,0
115746,0,35,28,7,0,0,0,0
115755,0,275,96,70,59,0,50,0
115773,0,9,4,1,4,0,0,0
115861,0,180,0,0,0,180,0,0
115931,0,14,0,0,0,0,0,14
116439,0,157,0,0,0,157,0,0
116846,0,10,8,0,0,0,0,2
117052,0,148,0,0,0,148,0,0
117104,0,17,1,5,9,1,0,1
117140,0,222,91,67,37,27,0,0
117168,0,25,7,11,7,0,0,0
117195,0,33,0,0,0,33,0,0
117247,0,129,0,0,0,129,0,0
117274,0,48,0,0,0,48,0,0
117520,0,87,0,0,0,87,0,0
117557,0,9,3,3,3,0,0,0
117575,0,5,5,0,0,0,0,0
117627,0,97,21,33,31,2,10,0
117636,0,377,57,79,207,34,0,0
117645,0,342,0,0,0,342,0,0
117672,0,52,2,3,15,4,0,28
117681,0,11,0,0,0,11,0,0
117690,0,80,0,0,0,80,0,0
117706,0,218,0,0,0,218,0,0
117715,0,74,0,0,0,74,0,0
117724,0,161,0,0,0,161,0,0
117733,0,178,0,0,0,178,0,0
117751,0,73,21,16,30,4,0,2
117788,0,153,0,0,0,153,0,0
117803,0,25,0,0,0,0,0,25
117867,0,98,0,0,0,98,0,0
117894,0,145,0,0,0,145,0,0
117946,0,634,231,162,194,42,0,5
118198,0,18,0,0,0,18,0,0
118347,0,122,0,0,0,122,0,0
118684,0,61,0,0,0,61,0,0
118693,0,26,8,10,4,0,4,0
118718,0,188,0,0,0,188,0,0
118772,0,63,0,0,0,63,0,0
118912,0,175,0,0,0,175,0,0
118930,0,169,0,0,0,169,0,0
118976,0,257,0,0,0,257,0,0
119058,0,63,18,24,7,8,0,6
119067,0,132,0,0,0,132,0,0
119137,0,161,0,0,0,161,0,0
119164,0,442,0,0,0,442,0,0
119173,0,128,32,31,42,19,4,0
119216,0,184,0,0,0,184,0,0
119270,0,109,0,0,0,49,0,60
119331,0,104,0,0,0,104,0,0
119605,0,336,169,84,70,13,0,0
119678,0,274,96,62,41,0,75,0
119775,0,21,9,4,8,0,0,0
120078,0,11,0,0,0,0,0,11
120166,0,4,0,0,0,4,0,0
120184,0,8,3,3,1,1,0,0
120254,0,194,64,44,30,0,0,56
120290,0,115,0,0,0,115,0,0
120342,0,262,0,0,0,262,0,0
120403,0,45,14,16,15,0,0,0
120421,0,83,0,0,0,83,0,0
120537,0,57,3,16,15,0,0,23
120661,0,18,0,0,0,18,0,0
120698,0,47,22,13,12,0,0,0
120768,0,23,0,0,0,0,0,23
120795,0,7,2,2,3,0,0,0
120865,0,58,25,13,19,1,0,0
120883,0,430,152,123,117,21,17,0
120953,0,36,0,0,0,36,0,0
120971,0,287,0,0,0,287,0,0
121044,0,432,0,0,0,432,0,0
121150,0,421,129,88,88,31,20,65
121178,0,3,0,0,0,3,0,0
121257,0,95,38,13,35,4,5,0
121309,0,152,86,41,25,0,0,0
121345,0,233,95,48,31,0,0,59
