UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,PEO7ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL1A,LEVEL1B,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL12,LEVEL17,LEVEL18,LEVEL19,CALSYS,FT_UG,FT_FTUG,FTGDNIDP,PT_UG,PT_FTUG,PTGDNIDP,DOCPP,DOCPPSP,OPENADMP,NONCRDT1,NONCRDT2,NONCRDT3,NONCRDT4,NONCRDT5,NONCRDT6,NONCRDT7,NONCRDT8,NONCRDT9,VET1,VET2,VET3,VET4,VET5,VET9,CREDITS1,CREDITS2,CREDITS3,CREDITS4,SLO5,SLO51,SLO52,SLO521,SLO53,SLO6,SLO7,SLOA,SLO8,SLO81,SLO82,SLO83,SLOB,SLO9,YRSCOLL,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBRES1,LIBRES2,LIBRES3,LIBRES4,LIBRES5,LIBRES6,LIBRES9,TUITPL,TUITPL1,TUITPL2,TUITPL3,TUITPL4,PRMPGM,DSTNUGC,DSTNUGP,DSTNUGN,DSTNGC,DSTNGP,DSTNGN,DISTCRS,DISTPGS,DSTNCED1,DSTNCED2,DSTNCED3,DISTNCED,DISAB,DISABPCT,ALLONCAM,TUITVARY,ROOM,ROOMCAP,BOARD,MEALSWK,ROOMAMT,BOARDAMT,RMBRDAMT,APPLFEEU,APPLFEEG,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4
100858,0,1,1,0,0,0,0,1,2,0,-2,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,0,0,1,1,0,1,1,1,1,0,2,2,8.69,2,1,1,4495,2,,9294,5704,,50,60,1,1,0,0,0,0,0,1,130,1,130,1,130,1,130
100937,0,1,0,0,0,0,0,4,-2,-2,71,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,1,2,1,2,2,-2,-2,2,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,0,0,-2,-2,-2,1,0,1,-2,0,2,2,17.48,2,2,1,1418,2,,8200,5800,,50,,1,1,0,0,0,0,0,1,368,1,368,1,368,1,368
101028,1,1,-2,0,1,0,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,0,0,0,0,1,1,1,1,1,1,0,2,0,0,0,0,2,1,0,0,-2,-2,-2,1,0,1,-2,0,2,1,,2,1,2,,3,,,,,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101116,0,1,0,0,0,0,0,2,-2,-2,-2,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2,1,1,1,1,1,1,1,2,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,1,0,1,1,0,1,1,1,1,0,2,1,,2,2,2,,3,,,,,75,75,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
101143,1,1,-2,1,1,0,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,1,0,-2,-2,-2,1,1,1,-2,0,2,2,5.14,2,1,2,,3,,,,,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101161,1,1,-2,0,1,0,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,1,1,575,1,15,,,5800,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101189,0,1,0,0,0,0,0,4,-2,-2,74,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,2,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,1,0,1,1,0,1,1,1,1,0,2,2,11.00,2,2,1,704,1,20,3980,4250,,25,75,1,0,1,0,0,0,0,1,315,1,334,1,334,2,-2
101240,1,1,-2,1,1,0,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,2,1,1,0,-2,-2,-2,1,1,1,-2,0,2,2,3.81,2,1,1,110,1,15,,,4800,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101277,1,0,-2,0,0,0,0,2,-2,-2,-2,1,0,1,1,0,0,-2,-2,-2,-2,0,-2,-2,-2,7,1,1,-2,2,2,-2,-2,-2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-2,-2,-2,-2,0,1,-2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,1,-2,-2,-2,0,0,0,-2,1,2,1,,2,-2,2,,3,,,,,0,,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
101286,1,1,-2,0,0,0,1,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,2,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,1,2,,3,,,,,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101295,1,1,-2,1,1,0,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,1,1,180,1,12,2800,2100,,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101301,1,1,-2,0,0,0,1,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,2,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,1,2,,3,,,,,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101365,0,1,0,0,0,0,0,3,-2,-2,-2,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,-2,-2,2,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,2,1,1,0,1,1,0,1,1,1,1,0,2,1,,2,2,2,,3,,,,,0,0,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
101435,0,1,0,0,0,0,0,4,-2,-2,71,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,2,-2,-2,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,0,0,0,0,1,1,0,1,0,0,2,1,,2,2,1,679,1,19,,,10772,0,0,1,1,0,0,0,0,0,1,171,1,378,1,378,1,378
101453,0,1,0,0,1,0,1,4,-2,-2,74,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,-2,-2,2,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,1,0,1,1,0,1,1,1,1,0,2,1,,2,2,1,31,3,,4000,,,35,35,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
101462,1,1,-2,0,1,0,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,0,0,-2,-2,-2,1,0,1,-2,0,2,1,,2,1,2,,3,,,,,0,,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
101471,1,1,-2,0,1,1,0,1,2,0,-2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,1,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,1,-2,-2,-2,0,0,0,-2,1,2,1,,2,2,2,,3,,,,,0,,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
101480,0,1,0,0,0,0,0,1,2,0,-2,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,2,2,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,-2,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,1,0,1,1,0,1,1,1,1,0,2,2,6.35,2,1,1,2652,2,,4000,3400,,35,35,1,1,0,0,0,0,0,1,111,1,111,1,111,1,111
101505,1,1,-2,1,1,0,1,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,0,0,2,0,0,0,0,2,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,1,2,,3,,,,,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101514,1,1,-2,1,1,0,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,1,2,,3,,,,,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101569,1,1,-2,0,1,0,1,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,2,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,1,1,156,1,17,3000,1760,,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101587,0,1,0,0,0,0,1,1,2,0,-2,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,-2,-2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,-2,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,2,1,,2,1,1,927,2,,4760,3060,,30,40,1,1,0,0,0,0,1,1,146,1,146,1,146,1,146
101602,1,1,-2,0,0,0,0,1,2,9,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,2,0,0,0,0,2,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,1,1,94,3,,4000,,,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101648,0,1,-2,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,2,-2,-2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-2,1,0,0,0,0,1,1,1,1,1,1,0,2,0,0,0,0,2,1,0,0,-2,-2,-2,1,0,1,-2,0,2,1,,1,1,1,500,1,21,,,4950,30,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101675,0,1,0,0,0,0,0,4,-2,-2,55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,-2,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,2,1,846,1,19,4182,3388,,0,,1,1,0,0,0,0,0,1,161,1,161,1,161,1,161
101693,1,1,0,0,0,0,0,4,-2,-2,75,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,-2,-2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,1,0,1,1,0,1,1,1,1,0,2,2,4.60,2,2,1,684,1,19,5688,4480,,25,25,1,0,1,0,0,0,0,2,-2,1,334,1,334,1,334
101709,0,1,0,0,0,0,0,1,2,0,-2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,-2,-2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,2,2,11.78,2,1,1,1337,2,,6595,3540,,35,35,1,1,0,0,0,0,0,2,-2,1,146,1,146,1,146
101736,1,1,-2,0,1,0,0,1,2,0,-2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,2,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,1,2,,3,,,,,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101879,0,1,0,0,0,0,1,1,2,0,-2,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,-2,-2,2,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,1,0,1,1,0,1,1,1,1,0,2,2,7.14,2,1,1,2246,2,,3530,4200,,0,0,1,1,0,0,0,0,0,1,106,1,135,1,135,1,135
101897,1,1,-2,1,1,0,1,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,0,0,-2,-2,-2,1,0,1,-2,0,2,1,,2,1,2,,3,,,,,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101912,0,1,0,0,0,0,0,4,-2,-2,95,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,-2,-2,2,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,1,0,1,1,0,1,1,1,1,0,2,2,13.00,2,2,1,1227,1,14,4742,5358,,0,0,1,0,1,0,0,0,0,2,-2,1,337,1,337,2,-2
101994,1,0,-2,0,1,0,1,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,2,1,0,0,-2,-2,-2,1,0,1,-2,0,2,1,,2,1,2,,3,,,,,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
102030,1,1,-2,0,1,0,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,2,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,1,2,,3,,,,,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
102049,1,1,1,1,0,0,0,4,-2,-2,54,0,0,0,0,0,0,1,1,1,1,0,1,1,0,4,1,1,1,1,1,1,1,1,2,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,1,0,1,1,0,1,1,1,1,0,2,2,17.00,2,2,1,2375,2,,6336,5288,,40,35,1,1,0,0,0,0,0,1,131,1,131,1,131,1,131
102058,0,1,0,0,0,0,0,4,-2,-2,54,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,-2,-2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,2,1,0,0,1,0,0,1,0,1,1,0,2,1,,2,2,2,,3,,,,,0,0,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
