UNITID,CDACTUA,CNACTUA,CDACTGA,EFTEUG,EFTEGD,FTEUG,FTEGD,FTEDPP,ACTTYPE
488305,2878,,,96,,96,,,2
488314,2550,,,85,,85,,,2
488332,3600,78300,,207,,207,,,3
488350,3270,,,109,,109,,,2
488369,,61110,,68,,68,,,1
488378,,86230,,96,,96,,,1
488387,,,5427,,226,,226,,-2
488396,,45000,,50,,50,,,1
488411,,104553,,116,,116,,,1
488420,,216500,,241,,241,,,1
488439,,194258,,216,,216,,,1
488448,4175,,1425,93,40,93,40,,2
488527,,,3870,,161,,161,632,-2
488554,,,,,,,,636,-2
488563,545,,,12,,12,,,2
488572,,,,,,,,283,-2
488590,,9660,,11,,11,,,1
488651,,182387,,203,,203,,,1
488679,118316,,77774,3944,3241,3944,3241,268,2
488721,8667,,6345,289,264,289,264,,2
488730,92044,,,3068,,3068,,,2
488749,,126000,,140,,140,,,1
488776,5023,,2722,167,113,167,113,,2
488785,6823,,423,227,18,227,18,,2
488800,9792,,3934,326,164,326,164,,2
488837,,120721,,134,,134,,,1
488846,453839,,133389,15128,5558,15128,5558,,2
488891,,154528,,172,,172,,,1
488907,,,2178,,61,,61,,-2
488916,,53312,,59,,59,,,1
488934,,2288100,,2542,,2542,,,1
488952,2970,,,99,,99,,,2
488961,3240,,,108,,108,,,2
488970,2670,2964,,92,,92,,,3
488989,,148406,,165,,165,,,1
488998,,126794,,141,,141,,,1
489122,,39190,,44,,44,,,1
489131,,65442,,73,,73,,,1
489140,,80099,,89,,89,,,1
489159,,156850,,174,,174,,,1
489201,131361,,,4379,,4379,,,2
489238,,175134,,195,,195,,,1
489247,,64544,,72,,72,,,1
489256,6451,,,215,,215,,,2
489283,21493,551,,717,,717,,,3
489335,,,423,,18,,18,,-2
489344,8172,,,272,,227,,,2
489353,16484,,,549,,458,,,2
489371,8205,,,274,,274,,,2
489779,1138833,,258715,37961,10780,37961,10780,760,2
489812,1719,,,57,,57,,,2
489830,,67900,,75,,75,,,1
489858,,,6420,,268,,268,550,-2
489937,12090,,6536,403,272,403,272,30,2
490018,,28800,,32,,32,,,1
490045,1163,,2870,39,120,39,120,,2
490054,15126,155274,,677,,677,,,3
490063,3209,,6707,107,279,107,279,,2
490081,2350,,3500,78,146,78,146,,2
490090,,16230,,18,,18,,,1
490106,,,13911,,386,,386,53,-2
490115,,38244,,42,,42,,,1
490124,329,,,7,,7,,,2
490133,44900,,51573,1497,2149,1497,2149,237,2
490142,,27404,,30,,30,,,1
490151,,62171,,69,,69,,,1
490160,928,48771,,85,,85,,,3
490197,,33818,,38,,38,,,1
490203,4883,,,163,,163,,,2
490221,,26525,,29,,29,,,1
490230,6234,,561,208,23,208,23,,2
490249,,40500,,45,,45,,,1
490258,,105759,,118,,118,,,1
490267,,10930,,12,,12,,,1
490276,3600,,,120,,120,,,2
490285,19414,1350,,649,,649,,,3
490294,,108130,,120,,120,,,1
490300,,63272,,70,,70,,,1
490319,660,,,22,,22,,,2
490328,3240,,,108,,108,,,2
490337,,45570,,51,,51,,,1
490346,1655,,,55,,55,,,2
490373,,,270,,11,,11,346,-2
490382,,107172,,119,,119,,,1
490391,,38615,,43,,43,,,1
490407,,75242,,84,,84,,,1
490416,,31908,,35,,35,,,1
490425,,180283,,200,,200,,,1
490434,,40685,,45,,45,,,1
490443,,89025,,99,,99,,,1
490452,,48120,,53,,53,,,1
490461,,60707,,67,,67,,,1
490470,,11609,,13,,13,,,1
490489,,55410,,62,,62,,,1
490498,318,21596,,35,,35,,,3
490504,1575,,,53,,53,,,2
490513,1560,,,52,,52,,,2
490522,,18372,,20,,20,,,1
490531,,32500,,36,,36,,,1
490559,18029,,,601,,601,,,2
490601,,,0,,0,,0,645,-2
490674,,7175,,8,,8,,,1
490692,,76805,,85,,85,,,1
490717,,77174,,86,,86,,,1
490735,6456,,,215,,121,,,2
490744,,37468,,42,,42,,,1
490753,96,,583,3,24,3,24,,2
490805,172545,,11554,5752,481,5752,481,3,2
490814,5190,1900,,175,,175,,,3
490832,11400,,,380,,380,,,2
490841,13650,4408,,460,,460,,,3
490869,11572,,,386,,386,,,2
490878,13187,,,440,,440,,,2
490896,,175780,,195,,195,,,1
490948,,12224,,14,,14,,,1
490975,13920,,,464,,464,,,2
491057,8820,,,294,,294,,,2
491066,,62764,,70,,70,,,1
491075,,47605,,53,,53,,,1
491084,,107048,,119,,119,,,1
491136,,65041,,72,,72,,,1
491145,,88712,,99,,99,,,1
491181,21749,,,725,,725,,,2
491190,98,,1767,3,74,3,74,49,2
491215,,51191,,57,,57,,,1
491224,,106600,,118,,118,,,1
491233,,37441,,42,,42,,,1
491242,,72948,,81,,81,,,1
491251,,69455,,77,,77,,,1
491260,,49864,,55,,55,,,1
491288,13082,,,436,,727,,,2
491297,2985,,,100,,166,,,2
491394,3907,12700,,144,,144,,,3
491446,4830,,,161,,161,,,2
491464,,53903,,60,,60,,,1
491473,,221133,,246,,246,,,1
491507,,70416,,78,,78,,,1
491525,1873,,,62,,62,,,2
491534,,8495,,9,,9,,,1
491543,,78084,,87,,87,,,1
491552,,48069,,53,,53,,,1
491570,,27840,,31,,31,,,1
491589,,41000,,46,,46,,,1
491598,,18639,,21,,21,,,1
491613,2460,,,82,,82,,,2
491622,2790,,,93,,93,,,2
491631,6432,,,214,,214,,,2
491640,5340,,,178,,178,,,2
491659,,118000,,131,,131,,,1
491668,,391202,,435,,365,,,1
491677,,38800,,43,,43,,,1
491686,,33600,,37,,37,,,1
491695,,32712,,36,,36,,,1
491701,,30990,,34,,34,,,1
491710,3090,,,103,,103,,,2
491729,,29760,,33,,33,,,1
491738,,76069,,85,,85,,,1
491747,,18352,,20,,20,,,1
491756,,185400,,206,,206,,,1
491765,3060,,,102,,102,,,2
491774,,131400,,146,,146,,,1
491783,,91690,,102,,102,,,1
491792,,136507,,152,,152,,,1
491808,,,1120,,31,,31,60,-2
