UNITID,LEXP100K,LCOLELYN,LPBOOKS,LEBOOKS,LEDATAB,LPMEDIA,LEMEDIA,LPSERIA,LESERIA,LPCLLCT,LECLLCT,LTCLLCT,LPCRCLT,LECRCLT,LTCRCLT,LILLDYN,LILLDPR,LILLDRC,LILSYN,LSTOTAL,LSLIBRN,LSOPROF,LSOPAID,LSSTAST,LBRANCH,LSALWAG,LFRNGBYN,LFRNGBN,LEXMSBB,LEXMSCS,LEXMSOT,LEXMSTL,LEXOMPS,LEXOMOT,LEXOMTL,LEXPTOT,LSWMSOM
236896,1,2,155775,991224,218,6928,127304,1956,273133,164659,1391879,1556538,1573,5010,6583,1,890,928,1,13.66,4,0.83,3.95,4.88,4,594242,1,275933,64303,225001,8092,297396,7,125827,125834,1293405,1017472
236939,1,2,1419191,913845,542,297449,103808,68587,130928,1785227,1149123,2934350,32493,3681767,3714260,1,14866,14147,1,131.31,43,6,37.63,44.68,6,5564387,2,0,574510,6805115,102283,7481908,0,1185620,1185620,14231915,14231915
236948,1,2,5327499,1822189,639,719481,279880,157669,238697,6204649,2341405,8546054,70441,5786676,5857117,1,23111,55161,1,354,122,45,123,64,12,19688179,1,6033565,3266829,12867303,992923,17127055,0,5284182,5284182,48132981,42099416
236975,1,2,50215,220727,89,3328,25647,124,23865,53667,270328,323995,1248,69114,70362,1,14,48,1,8,3,4,1,0,1,396397,1,138694,25112,72404,0,97516,0,20441,20441,653048,514354
237011,1,2,658300,713358,116,110971,220372,22697,92689,791968,1026535,1818503,15587,451644,467231,1,12571,10298,1,64.43000000000001,15,9,25.75,14.68,2,4255529,1,1256750,288260,1817008,56010,2161278,0,550651,550651,8224208,6967458
237039,1,2,33603,475274,49,3435,211501,55,51000,37093,737824,774917,4151,140525,144676,1,156,266,1,11,5,4,1,1,0,519556,2,0,35000,114799,0,149799,500,0,500,669855,669855
237057,1,2,418988,543214,204,27807,43584,6347,105796,453142,692798,1145940,7737,61614,69351,1,6290,2845,1,17.76,8,0,5.5,4.26,0,993187,1,414264,88527,478245,4948,571720,23016,138941,161957,2141128,1726864
237066,1,2,231692,570300,208,6697,2232,2376,99896,240765,672636,913401,9924,13652,23576,1,2332,2376,1,30,5,3,1,21,0,644109,2,0,67000,410400,74050,551450,2000,86285,88285,1283844,1283844
237109,1,2,34649,208073,49,3791,200,140,55000,38580,263322,301902,1518,30000,31518,1,3,3,1,5,2,1,2,0,1,415016,1,156691,10000,73000,35000,118000,0,15000,15000,704707,548016
237118,1,2,39595,250000,0,1612,21,4,0,41211,250021,291232,268,23037,23305,2,,,1,4.5,1.5,1,0,2,0,122935,1,26058,320,81090,19088,100498,0,320,320,249811,223753
237136,2,2,40569,60,16,3427,0,100,37,44096,113,44209,1914,914,2828,1,1,1,1,4,1,0,0,3,,,-2,,,,,,,,,,
237181,1,2,100496,403321,44,5756,4,743,34100,106995,437469,544464,1253,13675,14928,1,92,91,1,5.07,2.66,0,1,1.41,0,110507,1,11589,2834,74896,5522,83252,1655,17608,19263,224611,213022
237215,1,2,111050,1,55,137750,0,12,150000,248812,150056,398868,600,500,1100,1,5,40,1,6.5,3,0,0.5,3,1,162719,1,50831,2500,75000,2000,79500,0,1568,1568,294618,243787
237312,1,2,78278,849191,51,980,121258,0,0,79258,970500,1049758,135,63540,63675,1,20,200,1,4.6,3,0,0,1.6,0,146000,1,30000,11500,212000,0,223500,0,63150,63150,462650,432650
237330,1,2,160894,237141,13,13443,845,24,2,174361,238001,412362,2143,31336,33479,1,312,245,1,10,4,0,0,6,0,191175,1,46960,19100,92900,9905,121905,3963,4926,8889,368929,321969
237358,1,2,93301,77522,31,2381,0,678,9798,96360,87351,183711,703,1937,2640,1,0,47,1,3.5,1,0,1.5,1,0,78191,1,29893,181,3826,1520,5527,0,19491,19491,133102,103209
