UNITID,CSTOTLT,CSTOTLM,CSTOTLW,CSAIANT,CSAIANM,CSAIANW,CSASIAT,CSASIAM,CSASIAW,CSBKAAT,CSBKAAM,CSBKAAW,CSHISPT,CSHISPM,CSHISPW,CSNHPIT,CSNHPIM,CSNHPIW,CSWHITT,CSWHITM,CSWHITW,CS2MORT,CS2MORM,CS2MORW,CSUNKNT,CSUNKNM,CSUNKNW,CSNRALT,CSNRALM,CSNRALW,CSGUUGUN,CSGUUGAG,CSGUUGTT,CSGUGUN,CSGUGAG,CSGUGTOT,CSGUTOTUN,CSGUTOTAG,CSGUTOT,CSGUKN
216339,8924,3800,5124,8,3,5,1058,439,619,1019,319,700,648,226,422,7,4,3,4988,2248,2740,294,114,180,281,132,149,621,315,306,9,0,9,23,0,23,32,0,32,8892
216348,5,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,0,0,,0,0,,0,0,,0,5
216357,157,70,87,1,0,1,1,0,1,12,9,3,2,1,1,0,0,0,129,56,73,4,1,3,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,157
216366,2778,692,2086,1,0,1,312,90,222,242,49,193,253,55,198,3,2,1,1654,382,1272,115,34,81,111,34,77,87,46,41,13,,13,10,,10,23,,23,2755
216436,56,50,6,0,0,0,0,0,0,18,14,4,0,0,0,1,1,0,36,34,2,1,1,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,56
216445,81,75,6,1,0,1,1,1,0,2,2,0,0,0,0,0,0,0,77,72,5,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,81
216454,59,54,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,58,54,4,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,59
216463,24,15,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,23,15,8,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,24
216524,294,140,154,0,0,0,13,2,11,19,12,7,27,11,16,0,0,0,214,102,112,11,8,3,6,3,3,4,2,2,0,,0,0,,0,0,,0,294
216542,99,38,61,0,0,0,3,0,3,8,3,5,8,1,7,0,0,0,72,32,40,5,0,5,2,1,1,1,1,0,0,,0,0,,0,0,,0,99
216551,44,38,6,0,0,0,0,0,0,1,1,0,4,4,0,0,0,0,6,5,1,2,2,0,31,26,5,0,0,0,0,,0,0,,0,0,,0,44
216579,59,1,58,0,0,0,0,0,0,17,1,16,1,0,1,0,0,0,41,0,41,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,59
216597,3264,1512,1752,2,1,1,156,75,81,162,59,103,221,107,114,1,0,1,2454,1140,1314,84,45,39,65,27,38,119,58,61,0,0,0,0,0,0,0,0,0,3264
216630,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,15
216667,288,137,151,0,0,0,8,2,6,13,6,7,14,3,11,0,0,0,224,111,113,6,2,4,21,11,10,2,2,0,0,,0,0,,0,0,,0,288
216694,403,167,236,1,1,0,6,1,5,13,5,8,11,3,8,1,1,0,356,147,209,2,1,1,12,7,5,1,1,0,0,,0,0,,0,0,,0,403
216746,61,54,7,0,0,0,0,0,0,2,2,0,7,7,0,0,0,0,51,44,7,0,0,0,1,1,0,0,0,0,0,,0,0,,0,0,,0,61
