UNITID,LINE_10,LINE_45,LINE_50,LINE_55,LINE_11,LINE_30,LINE_51,LINE_52,PGLIN10,PGLIN45,PGLIN50,PGLIN11,SSLIN10,SSLIN45,SSLIN50,SSLIN11,NRLIN10,NRLIN45,NRLIN50,NRLIN11
184746,183,1,182,159,159,0,0,23,111,0,111,95,52,1,51,44,20,0,20,20
184816,46,0,46,0,11,0,1,34,43,0,43,9,2,0,2,2,1,0,1,0
185174,37,0,37,34,34,0,0,3,13,0,13,13,10,0,10,10,14,0,14,11
185396,1151,0,1151,615,741,0,1,409,871,0,871,528,186,0,186,141,94,0,94,72
185466,141,0,141,77,123,0,2,16,55,0,55,55,32,0,32,32,54,0,54,36
185767,6,0,6,1,3,0,0,3,6,0,6,3,0,0,0,0,0,0,0,0
185970,23,0,23,1,16,0,0,7,17,0,17,11,5,0,5,4,1,0,1,1
186016,73,0,73,4,53,0,0,20,47,0,47,33,7,0,7,6,19,0,19,14
186274,25,0,25,4,15,0,0,10,15,0,15,7,1,0,1,1,9,0,9,7
186593,36,0,36,0,18,0,0,18,31,0,31,16,3,0,3,1,2,0,2,1
187505,484,0,484,181,235,11,109,129,388,0,388,178,31,0,31,16,65,0,65,41
188289,5,0,5,1,5,0,0,0,4,0,4,4,1,0,1,1,0,0,0,0
188650,363,0,363,300,309,0,0,54,319,0,319,302,2,0,2,2,42,0,42,5
188890,471,1,470,14,316,0,0,154,308,1,307,197,33,0,33,24,130,0,130,95
189219,196,0,196,158,176,0,0,20,102,0,102,90,80,0,80,72,14,0,14,14
189255,98,0,98,62,88,0,3,7,17,0,17,17,7,0,7,7,74,0,74,64
189404,12,0,12,0,9,0,0,3,10,0,10,7,1,0,1,1,1,0,1,1
189468,145,0,145,60,120,0,0,25,74,0,74,61,35,0,35,33,36,0,36,26
189477,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0
189714,77,0,77,28,56,0,0,21,44,0,44,32,11,0,11,10,22,0,22,14
189990,9,0,9,8,8,0,0,1,2,0,2,1,3,0,3,3,4,0,4,4
190239,37,0,37,0,18,0,0,19,30,0,30,13,5,0,5,4,2,0,2,1
190318,58,0,58,14,42,0,0,16,49,0,49,33,6,0,6,6,3,0,3,3
191311,38,0,38,30,30,0,0,8,4,0,4,4,4,0,4,4,30,0,30,22
191940,70,0,70,49,49,0,0,21,16,0,16,11,5,0,5,4,49,0,49,34
192484,2,0,2,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1
192800,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
193265,52,0,52,50,50,0,0,2,27,0,27,27,17,0,17,16,8,0,8,7
193991,18,0,18,1,13,0,1,4,11,0,11,6,1,0,1,1,6,0,6,6
194259,19,0,19,14,14,0,0,5,9,0,9,9,5,0,5,5,5,0,5,0
194435,23,0,23,5,18,0,0,5,17,0,17,13,1,0,1,1,5,0,5,4
195067,135,0,135,0,56,0,0,79,117,0,117,50,7,0,7,3,11,0,11,3
197337,12,0,12,1,8,0,0,4,12,0,12,8,0,0,0,0,0,0,0,0
198844,143,0,143,53,92,0,51,0,68,0,68,42,0,0,0,0,75,0,75,50
199005,5,0,5,4,4,0,0,1,5,0,5,4,0,0,0,0,0,0,0,0
199078,6,0,6,1,4,0,0,2,5,0,5,3,1,0,1,1,0,0,0,0
199689,27,0,27,0,18,0,0,9,17,0,17,10,1,0,1,1,9,0,9,7
199980,80,1,79,49,49,0,0,30,68,1,67,40,0,0,0,0,12,0,12,9
200846,214,0,214,0,0,24,140,50,84,0,84,0,37,0,37,0,93,0,93,0
201034,65,0,65,47,47,0,13,5,5,0,5,3,5,0,5,2,55,0,55,42
201098,21,0,21,17,17,0,0,4,17,0,17,13,1,0,1,1,3,0,3,3
201131,61,0,61,42,42,0,0,19,52,0,52,35,2,0,2,1,7,0,7,6
201159,125,0,125,30,55,0,28,42,47,0,47,37,12,0,12,10,66,0,66,8
201478,104,0,104,82,82,0,0,22,91,0,91,77,7,0,7,5,6,0,6,0
201496,580,0,580,477,481,0,0,99,106,0,106,106,11,0,11,11,463,0,463,364
201539,19,0,19,14,14,0,0,5,19,0,19,14,0,0,0,0,0,0,0,0
201681,100,0,100,26,31,0,29,40,81,0,81,26,1,0,1,1,18,0,18,4
201803,71,0,71,68,68,0,0,3,70,0,70,68,0,0,0,0,1,0,1,0
202152,96,0,96,1,74,0,0,22,82,0,82,61,3,0,3,2,11,0,11,11
202657,49,0,49,43,43,0,0,6,6,0,6,6,5,0,5,5,38,0,38,32
202888,24,0,24,19,21,0,3,0,24,0,24,21,0,0,0,0,0,0,0,0
202949,140,0,140,96,116,0,0,24,64,0,64,56,17,0,17,15,59,0,59,45
202985,17,0,17,13,15,2,0,0,12,0,12,11,3,0,3,2,2,0,2,2
203030,14,0,14,13,13,0,0,1,8,0,8,7,6,0,6,6,0,0,0,0
203146,251,0,251,186,226,0,0,25,91,0,91,78,47,0,47,47,113,0,113,101
203234,77,0,77,12,37,0,0,40,70,0,70,34,6,0,6,3,1,0,1,0
203942,23,0,23,20,20,0,0,3,16,0,16,13,0,0,0,0,7,0,7,7
204121,21,1,20,19,19,1,0,0,17,1,16,15,4,0,4,4,0,0,0,0
204158,69,0,69,61,61,0,0,8,21,0,21,20,4,0,4,4,44,0,44,37
204431,35,0,35,6,19,4,12,0,27,0,27,14,0,0,0,0,8,0,8,5
204963,78,0,78,57,57,0,0,21,61,0,61,48,7,0,7,2,10,0,10,7
204981,20,0,20,17,17,0,0,3,19,0,19,16,0,0,0,0,1,0,1,1
206039,21,0,21,14,16,0,0,5,17,0,17,12,4,0,4,4,0,0,0,0
206172,50,0,50,23,35,0,0,15,15,0,15,8,0,0,0,0,35,0,35,27
206181,7,0,7,5,5,0,0,2,6,0,6,4,0,0,0,0,1,0,1,1
206321,11,0,11,0,7,0,0,4,11,0,11,7,0,0,0,0,0,0,0,0
206905,50,0,50,44,44,0,6,0,50,0,50,44,0,0,0,0,0,0,0,0
207087,13,0,13,0,7,1,0,5,6,0,6,3,5,0,5,4,2,0,2,0
207102,42,1,41,14,14,0,0,27,29,0,29,12,2,0,2,2,11,1,10,0
207704,26,0,26,2,24,0,0,2,23,0,23,22,2,0,2,2,1,0,1,0
207786,20,0,20,10,15,0,5,0,3,0,3,0,2,0,2,0,15,0,15,15
