UNITID,AWLEVELC,CSTOTLT,CSTOTLM,CSTOTLW,CSAIANT,CSASIAT,CSBKAAT,CSHISPT,CSNHPIT,CSWHITT,CS2MORT,CSUNKNT,CSNRALT,CSUND18,CS18_24,CS25_39,CSABV40,CSUNKN
104425,2,273,99,174,1,2,14,138,1,96,12,3,6,1,162,86,24,0
104443,2,24,3,21,2,1,4,8,0,8,0,1,0,0,6,17,1,0
104568,2,60,1,59,1,1,3,26,0,24,1,4,0,0,41,17,2,0
104577,2,79,24,55,5,1,0,22,0,44,6,1,0,1,57,9,12,0
104708,2,1233,467,766,14,67,64,472,4,531,35,34,12,3,727,382,121,0
105145,2,246,83,163,3,10,19,126,1,76,6,4,1,10,122,83,31,0
105154,2,1024,413,611,25,44,55,269,3,525,47,39,17,8,561,369,86,0
105206,2,208,67,141,5,2,1,38,0,150,9,3,0,0,79,84,45,0
105215,2,489,461,28,14,5,16,60,2,312,56,22,2,0,212,219,58,0
105330,2,33,1,32,1,0,2,13,0,17,0,0,0,0,20,12,1,0
105349,2,115,42,73,14,0,0,19,0,80,1,1,0,7,54,42,12,0
105428,2,627,191,436,18,24,57,327,0,166,19,16,0,3,285,256,83,0
105525,2,1286,464,822,22,32,49,596,8,503,22,25,29,5,690,463,128,0
105534,2,340,31,309,9,1,11,231,1,74,12,1,0,0,209,114,17,0
105543,2,295,34,261,53,3,5,171,0,51,9,3,0,0,158,117,20,0
105659,2,285,275,10,27,6,19,110,3,98,16,6,0,0,96,162,27,0
105668,2,939,566,373,16,23,53,283,4,466,39,55,0,27,254,436,104,118
105747,2,351,141,210,19,9,11,82,0,204,16,8,2,0,213,104,34,0
105792,2,309,123,186,10,6,47,183,1,42,6,13,1,10,204,78,17,0
105899,2,3,2,1,0,0,1,0,0,2,0,0,0,0,1,2,0,0
106041,2,235,222,13,14,2,3,55,2,104,17,38,0,1,166,61,7,0
106111,2,15,0,15,0,0,3,4,0,0,0,8,0,0,7,8,0,0
106148,2,536,181,355,5,3,2,121,1,308,14,80,2,8,324,157,47,0
106245,2,2,0,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0
106315,2,11,1,10,0,0,10,0,0,1,0,0,0,0,3,6,2,0
106324,2,8,0,8,0,0,0,1,0,7,0,0,0,0,1,7,0,0
106351,2,14,10,4,0,0,12,0,0,2,0,0,0,0,5,7,2,0
106360,2,14,1,13,0,0,0,3,0,11,0,0,0,0,12,2,0,0
106449,2,384,151,233,4,2,16,18,0,322,15,7,0,0,237,110,37,0
106467,2,337,109,228,2,12,7,22,1,282,10,0,1,0,197,101,39,0
106485,2,163,113,50,0,0,46,11,0,102,3,0,1,0,105,34,24,0
106494,2,13,2,11,0,0,2,0,0,10,1,0,0,0,9,2,2,0
106546,2,156,15,141,0,4,47,5,0,94,3,1,2,0,71,74,11,0
106625,2,219,73,146,0,1,7,8,1,198,3,1,0,1,94,101,23,0
