UNITID,SANIN01,SANIT01,SANIN02,SANIT02,SANIN03,SANIT03,SANIN04,SANIT04,SANIN05,SANIT05,SANIN06,SANIT06,SANIN07,SANIT07,SANIN08,SANIT08,SANIN09,SANIT09,SANIN10,SANIT10,SANIN11,SANIT11,SANIN12,SANIT12,SANIN13,SANIT13,SANIN14,SANIT14
148654,486,27259658,0,0,0,0,38,1779304,113,9920391,49,2810110,31,1753946,49,2309789,2,93304,62,2332557,0,0,111,4433027,23,1348582,8,478648
148672,95,5170309,0,0,0,0,7,303859,21,1871172,14,549989,9,488165,19,1022094,0,0,15,559902,2,101337,8,273791,0,0,0,0
148821,65,3584690,0,0,0,0,5,279124,10,807436,4,252336,6,413467,19,984048,0,0,2,112161,2,78350,17,657768,0,0,0,0
148876,54,2832239,0,0,0,0,28,1209236,6,744268,7,218628,4,217716,1,70027,0,0,4,242359,1,31904,3,98101,0,0,0,0
148885,79,4810909,0,0,0,0,4,253272,19,836497,11,1326951,3,243126,1,80876,0,0,21,924714,0,0,13,696380,7,449093,0,0
148937,56,2978611,0,0,0,0,4,203787,5,542742,7,368320,6,361719,13,726931,0,0,3,142861,9,277725,9,354526,0,0,0,0
148982,30,2199930,1,50000,0,0,5,341025,7,870834,4,271946,1,49537,2,132175,0,0,1,45760,2,70000,3,110093,3,208560,1,50000
148991,74,3643811,0,0,0,0,2,108119,18,1431395,4,149813,8,434710,18,772996,0,0,4,118018,2,56160,18,572600,0,0,0,0
149028,15,1278405,0,0,0,0,3,202155,5,709359,1,83866,0,0,1,47819,0,0,0,0,0,0,5,235206,0,0,0,0
149222,1751,95725766,0,0,0,0,210,12179185,92,11906402,191,11021947,118,7201666,321,16412449,30,2131431,333,14034646,6,153732,295,9485104,127,9474737,28,1724467
149231,1412,78346777,0,0,0,0,256,12826872,82,11154244,106,6665023,127,7867465,152,7286567,16,767806,258,11746248,19,656173,317,12843477,54,4475213,25,2057689
149240,47,4700660,0,0,0,0,1,86664,15,2483820,19,1396584,1,171720,1,71400,0,0,0,0,0,0,10,490472,0,0,0,0
149310,10,462622,0,0,0,0,0,0,5,233995,1,44218,1,17510,1,86338,0,0,0,0,1,47784,1,32777,0,0,0,0
149329,20,570083,0,0,0,0,0,0,6,142163,3,127975,0,0,0,0,0,0,10,280895,0,0,1,19050,0,0,0,0
149365,192,11182317,0,0,0,0,4,266272,28,2696026,23,1005551,14,1275982,13,754070,0,0,37,1661238,0,0,68,3293613,2,108029,3,121536
149505,105,6043628,0,0,0,0,6,302850,33,2415781,8,424506,12,757911,22,1154391,1,65000,6,228095,0,0,12,471027,5,224067,0,0
149514,120,6540113,0,0,0,0,28,1287001,25,2304395,4,238440,6,393410,14,640232,0,0,19,590447,0,0,24,1086188,0,0,0,0
149532,292,18024259,0,0,0,0,37,2164835,27,3439662,40,2133519,32,2391944,50,3227157,1,67012,58,2528754,0,0,47,2071376,0,0,0,0
149587,886,76694009,0,0,0,0,6,458739,293,37335534,276,19240735,148,11919570,18,883324,0,0,3,208496,0,0,142,6647611,0,0,0,0
149639,17,875309,0,0,0,0,7,306564,1,94500,5,269829,2,113000,1,39583,0,0,0,0,0,0,1,51833,0,0,0,0
149727,313,21627108,0,0,0,0,26,1527210,74,8505927,26,1355834,19,1328816,82,4796014,0,0,28,1342503,8,373249,50,2397555,0,0,0,0
149763,46,5085428,0,0,0,0,13,716026,28,3887613,3,316578,1,87199,0,0,0,0,0,0,0,0,1,78012,0,0,0,0
149772,768,43364208,0,0,0,0,158,9399256,39,5237304,55,2708782,85,5023317,85,4762231,18,1049802,159,7807877,2,72503,125,4456199,41,2806809,1,40128
149781,475,30562613,1,91000,0,0,60,3580627,53,6834367,64,4238466,38,2713499,66,3681571,4,166044,61,2722263,7,586045,92,4104840,29,1843891,0,0
149842,510,35571349,0,0,0,0,57,3769311,34,5319810,55,3226837,71,6049011,120,8218252,3,193065,91,4542038,22,1486321,57,2766704,0,0,0,0
150066,164,7568978,0,0,0,0,17,800779,30,2382652,19,827581,7,303791,46,1833715,3,149000,8,224480,1,31200,33,1015780,0,0,0,0
150136,1973,110811873,0,0,0,0,187,10210512,300,28487713,157,10330461,140,9016133,131,9409583,10,698910,462,17313471,0,0,427,16361779,124,7522168,35,1461143
150145,133,5960051,0,0,0,0,26,988383,27,2126745,5,199420,7,300895,22,921557,0,0,11,300144,0,0,28,868752,7,254155,0,0
150163,611,40259745,7,339272,0,0,37,1893170,207,18388348,30,1511590,51,3396103,75,6412440,10,524384,83,3342316,1,28108,91,3580241,17,777633,2,66140
150172,46,2782736,0,0,0,0,13,656925,10,1063738,3,134744,4,202860,10,490997,0,0,3,127644,0,0,3,105828,0,0,0,0
150215,44,3236240,6,407436,7,369948,4,173167,5,1110434,4,262461,4,171698,5,307565,2,73440,0,0,0,0,7,360091,0,0,0,0
150251,4,225000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,225000,0,0,0,0
