UNITID,F3A01,F3A01A,F3A01B,F3A01C,F3A02,F3A02A,F3A03,F3A04,F3A05,F3A06,F3A07,F3A08,F3A09,F3A10,F3A11,F3A12,F3B01,F3B02,F3B03,F3B04,F3B05,F3B06,F3B07,F3B08,F3C01,F3C02,F3C03,F3C03A,F3C03B,F3C04,F3C05,F3C06,F3C07,F3C08,F3C12,F3C121,F3C122,F3C13,F3C131,F3C132,F3C14,F3C141,F3C142,F3C15,F3C151,F3C152,F3C16,F3C161,F3C162,F3C17,F3C171,F3C172,F3D01,F3D02,F3D02A,F3D02B,F3D03,F3D03A,F3D03B,F3D03C,F3D03D,F3D04,F3D05,F3D06,F3D07,F3D12,F3D08,F3D09,F3E011,F3E012,F3E02A1,F3E02A2,F3E02B1,F3E02B2,F3E03A1,F3E03A2,F3E03B1,F3E03B2,F3E03C1,F3E03C2,F3E041,F3E042,F3E051,F3E101,F3E102,F3E061,F3E062,F3E071,F3E072,F3E073,F3E074,F3E075,F3E076,F3E077,F3F01,F3F02,F3F03,F3G01,F3G02,F3G03,F3G04,F3G05,F3G06,F3G07
482538,,,,,,,,,,,,,,,,,,,,,,,,,47727,1925,0,0,0,45752,95404,45752,0,45752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45752,45752,0,267091,0,0,0,0,0,0,0,0,0,0,0,5640,0,0,272731,235052,235052,0,0,0,0,745689,322241,0,0,9861,0,6345,0,0,0,0,0,0,996947,557293,81235,311065,23892,0,23462,,,-2,,,,,,,
482547,,,,,,,,,,,,,,,,,,,,,,,,,82835,8400,0,0,0,43952,135187,43952,0,43952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43952,43952,0,473351,0,0,0,0,0,0,0,0,0,0,0,10160,0,0,483511,193701,193701,0,0,0,0,552611,214638,0,0,18161,0,10764,0,0,0,0,0,0,775237,408339,44494,241100,26712,0,54592,,,-2,,,,,,,
482556,,,,,,,,,,,,,,,,,,,,,,,,,446525,27388,251168,251168,0,201964,927045,201964,0,201964,0,0,0,0,0,0,0,0,0,0,0,0,2500,2500,0,199464,199464,0,1838927,0,0,0,0,0,0,0,0,0,0,0,37869,0,0,1876796,1179576,1177361,0,0,0,0,2229275,1198683,0,0,53595,0,41873,0,0,0,0,0,0,3504319,2376044,331032,550587,65344,0,181312,,,-2,,,,,,,
482565,,,,,,,,,,,,,,,,,,,,,,,,,59655,4900,0,0,0,43000,107555,43000,0,43000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43000,43000,0,371531,0,0,0,0,0,0,0,0,0,0,0,6989,0,0,378520,60867,60867,0,0,0,0,682535,361955,0,0,16830,0,7814,0,0,0,0,0,0,768046,422822,56650,218194,2658,0,67722,,,-2,,,,,,,
482574,,,,,,,,,,,,,,,,,,,,,,,,,1270570,61015,361387,361387,0,817717,2510689,817717,0,817717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817717,817717,0,1497860,0,0,0,0,0,0,0,0,0,0,0,30918,0,0,1528778,806441,802499,0,0,0,0,1822912,1032258,0,0,80701,0,34696,0,0,0,0,0,0,2744750,1834757,267007,398788,55548,0,188650,,,-2,,,,,,,
482608,,,,,,,,,,,,,,,,,,,,,,,,,166364,3500,9315,9315,0,318552,497731,318552,0,318552,0,0,0,0,0,0,0,0,0,0,0,0,3297,3297,0,315255,315255,0,912402,0,0,0,0,0,0,0,0,0,0,0,19880,0,0,932282,374359,374359,0,0,0,0,1479508,802559,0,0,65475,0,21110,0,0,0,0,0,0,1940452,1176918,173018,413902,20445,0,156169,,,-2,,,,,,,
482617,,,,,,,,,,,,,,,,,,,,,,,,,51318,2100,0,0,0,34687,88105,34687,0,34687,0,0,0,0,0,0,0,0,0,0,0,0,3297,3297,0,31390,31390,0,189592,0,0,0,0,0,0,0,0,0,0,0,4212,0,0,193804,115189,115189,0,0,0,0,378708,239832,0,0,3306,0,4759,0,0,0,0,0,0,501962,355021,53298,73444,0,0,20199,,,-2,,,,,,,
482635,,,,,,,,,,,,,,,,,,,,,,,,,518067,29400,0,0,0,436934,984401,436934,0,436934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436934,436934,0,3225713,0,0,0,0,0,0,0,0,0,0,0,65068,0,0,3290781,1717460,1717460,0,0,0,0,3350679,1373799,0,0,133527,0,72596,0,0,0,0,0,0,5274262,3091259,427310,1356407,42996,0,356290,,,-2,,,,,,,
482653,,,,,,,,,,,,,,,,,,,,,,,,,224441,12950,0,0,0,196855,434246,196855,0,196855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196855,196855,0,1800589,0,0,0,0,0,0,0,0,0,0,0,37720,0,0,1838309,577642,575465,0,0,0,0,1530612,733760,0,0,35362,0,38858,0,0,0,0,0,0,2182474,1309225,162199,506882,39321,0,164847,,,-2,,,,,,,
482963,,,,,,,,,,,,,,,,,,,,,,,,,936580,17850,41625,41625,0,32705,1028760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3472864,0,0,0,0,0,0,0,0,0,0,0,,,0,3472864,608673,330500,38042,20656,0,0,703089,371812,406496,216891,171189,92953,,,0,,,573412,0,2500901,1032812,196726,672565,23513,1873,573412,,,-2,,,,,,,
