UNITID,SNHCAT,OCCUPCAT,FACSTAT,SGTYPE,HRTOTLT,HRTOTLM,HRTOTLW,HRAIANT,HRAIANM,HRAIANW,HRASIAT,HRASIAM,HRASIAW,HRBKAAT,HRBKAAM,HRBKAAW,HRHISPT,HRHISPM,HRHISPW,HRNHPIT,HRNHPIM,HRNHPIW,HRWHITT,HRWHITM,HRWHITW,HR2MORT,HR2MORM,HR2MORW,HRUNKNT,HRUNKNM,HRUNKNW,HRNRALT,HRNRALM,HRNRALW
202134,37000,370,0,-2,25,8,17,0,0,0,0,0,0,8,1,7,1,0,1,0,0,0,14,6,8,2,1,1,0,0,0,0,0,0
202222,37000,370,0,-2,16,4,12,0,0,0,0,0,0,3,0,3,1,0,1,0,0,0,12,4,8,0,0,0,0,0,0,0,0,0
202356,37000,370,0,-2,48,5,43,0,0,0,1,0,1,11,0,11,3,0,3,0,0,0,31,4,27,0,0,0,2,1,1,0,0,0
202480,37000,370,0,-2,33,4,29,0,0,0,1,0,1,5,2,3,0,0,0,0,0,0,22,2,20,2,0,2,3,0,3,0,0,0
202514,37000,370,0,-2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
202523,37000,370,0,-2,18,1,17,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,16,1,15,0,0,0,0,0,0,0,0,0
202648,37000,370,0,-2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
202806,37000,370,0,-2,8,0,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0
203128,37000,370,0,-2,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0
203155,37000,370,0,-2,6,3,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0
203331,37000,370,0,-2,7,0,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,5,0,0,0,1,0,1,0,0,0
203368,37000,370,0,-2,5,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0
203386,37000,370,0,-2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
203465,37000,370,0,-2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
203474,37000,370,0,-2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
203517,37000,370,0,-2,29,1,28,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,27,0,27,1,0,1,0,0,0,0,0,0
203535,37000,370,0,-2,15,1,14,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,1,6,0,0,0,7,0,7,0,0,0
203599,37000,370,0,-2,6,2,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0
203678,37000,370,0,-2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
203720,37000,370,0,-2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203748,37000,370,0,-2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0
203757,37000,370,0,-2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
203775,37000,370,0,-2,11,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,9,0,0,0,0,0,0,0,0,0
203845,37000,370,0,-2,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0
204006,37000,370,0,-2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
204015,37000,370,0,-2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0
204024,37000,370,0,-2,22,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,15,0,0,0,5,0,5,0,0,0
204185,37000,370,0,-2,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
204194,37000,370,0,-2,5,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,3,0,0,0,1,0,1,0,0,0
204200,37000,370,0,-2,5,2,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0
204264,37000,370,0,-2,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,8,0,0,0,0,0,0,0,0,0
204440,37000,370,0,-2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
204468,37000,370,0,-2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
204477,37000,370,0,-2,12,0,12,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0
204486,37000,370,0,-2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
204501,37000,370,0,-2,9,0,9,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0
204617,37000,370,0,-2,5,0,5,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
204635,37000,370,0,-2,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0
204857,37000,370,0,-2,16,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,1,12,2,10,0,0,0
204909,37000,370,0,-2,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0
204936,37000,370,0,-2,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0
204945,37000,370,0,-2,15,4,11,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,12,4,8,0,0,0,0,0,0,1,0,1
205054,37000,370,0,-2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
205179,37000,370,0,-2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
205203,37000,370,0,-2,9,2,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,5,1,0,1,0,0,0,0,0,0
205443,37000,370,0,-2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
205470,37000,370,0,-2,25,4,21,0,0,0,1,0,1,8,1,7,0,0,0,0,0,0,14,3,11,2,0,2,0,0,0,0,0,0
205841,37000,370,0,-2,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5,0,0,0,1,0,1,0,0,0
205887,37000,370,0,-2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
205957,37000,370,0,-2,4,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0
206011,37000,370,0,-2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0
206084,37000,370,0,-2,85,15,70,0,0,0,4,2,2,13,0,13,3,0,3,0,0,0,59,10,49,3,3,0,1,0,1,2,0,2
206288,37000,370,0,-2,4,0,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
206437,37000,370,0,-2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
206446,37000,370,0,-2,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,6,0,0,0,0,0,0,0,0,0
206507,37000,370,0,-2,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0
206525,37000,370,0,-2,15,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,7,1,0,1,3,0,3,0,0,0
206589,37000,370,0,-2,9,1,8,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,5,0,5,0,0,0,2,0,2,0,0,0
206604,37000,370,0,-2,24,7,17,0,0,0,2,1,1,3,1,2,1,1,0,0,0,0,17,4,13,1,0,1,0,0,0,0,0,0
206622,37000,370,0,-2,17,3,14,0,0,0,0,0,0,3,0,3,2,0,2,0,0,0,12,3,9,0,0,0,0,0,0,0,0,0
206695,37000,370,0,-2,15,4,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,14,4,10,0,0,0,0,0,0,0,0,0
206817,37000,370,0,-2,5,1,4,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
206862,37000,370,0,-2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
206914,37000,370,0,-2,16,1,15,0,0,0,1,0,1,4,0,4,1,0,1,0,0,0,10,1,9,0,0,0,0,0,0,0,0,0
206923,37000,370,0,-2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
206932,37000,370,0,-2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
206941,37000,370,0,-2,37,8,29,2,0,2,1,0,1,4,0,4,2,0,2,1,0,1,23,8,15,4,0,4,0,0,0,0,0,0
206996,37000,370,0,-2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0
207041,37000,370,0,-2,15,6,9,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,8,3,5,4,1,3,0,0,0,0,0,0
207050,37000,370,0,-2,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
