UNITID,TUITION1,FEE1,HRCHG1,TUITION2,FEE2,HRCHG2,TUITION3,FEE3,HRCHG3,TUITION5,FEE5,HRCHG5,TUITION6,FEE6,HRCHG6,TUITION7,FEE7,HRCHG7,ISPROF1,ISPFEE1,OSPROF1,OSPFEE1,ISPROF2,ISPFEE2,OSPROF2,OSPFEE2,ISPROF3,ISPFEE3,OSPROF3,OSPFEE3,ISPROF4,ISPFEE4,OSPROF4,OSPFEE4,ISPROF5,ISPFEE5,OSPROF5,OSPFEE5,ISPROF6,ISPFEE6,OSPROF6,OSPFEE6,ISPROF7,ISPFEE7,OSPROF7,OSPFEE7,ISPROF8,ISPFEE8,OSPROF8,OSPFEE8,ISPROF9,ISPFEE9,OSPROF9,OSPFEE9,CHG1AT0,CHG1AF0,CHG1AY0,CHG1AT1,CHG1AF1,CHG1AY1,CHG1AT2,CHG1AF2,CHG1AY2,CHG1AT3,CHG1AF3,CHG1AY3,CHG1TGTD,CHG1FGTD,CHG2AT0,CHG2AF0,CHG2AY0,CHG2AT1,CHG2AF1,CHG2AY1,CHG2AT2,CHG2AF2,CHG2AY2,CHG2AT3,CHG2AF3,CHG2AY3,CHG2TGTD,CHG2FGTD,CHG3AT0,CHG3AF0,CHG3AY0,CHG3AT1,CHG3AF1,CHG3AY1,CHG3AT2,CHG3AF2,CHG3AY2,CHG3AT3,CHG3AF3,CHG3AY3,CHG3TGTD,CHG3FGTD,CHG4AY0,CHG4AY1,CHG4AY2,CHG4AY3,CHG5AY0,CHG5AY1,CHG5AY2,CHG5AY3,CHG6AY0,CHG6AY1,CHG6AY2,CHG6AY3,CHG7AY0,CHG7AY1,CHG7AY2,CHG7AY3,CHG8AY0,CHG8AY1,CHG8AY2,CHG8AY3,CHG9AY0,CHG9AY1,CHG9AY2,CHG9AY3
363633,1032,50,43,1392,50,58,2664,50,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912,50,962,912,50,962,960,50,1010,1032,50,1082,,,1248,50,1298,1248,50,1298,1320,50,1370,1392,50,1442,,,2376,50,2426,2376,50,2426,2520,50,2570,2664,50,2714,,,1250,1250,1250,1250,,,,,,,,,6538,6538,6538,6538,3558,3558,3558,3558,2902,2902,2902,2902
363712,8000,300,,8000,300,,8000,300,,8000,300,,8000,300,,8000,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,300,8300,8000,300,8300,8000,300,8300,8000,300,8300,,,8000,300,8300,8000,300,8300,8000,300,8300,8000,300,8300,,,8000,300,8300,8000,300,8300,8000,300,8300,8000,300,8300,,,,,,,8500,8500,8500,8500,400,400,400,400,,,,,,,,,,,,
363907,4657,840,194,4657,840,194,4657,840,194,5115,1052,213,5115,1052,213,5115,1052,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4584,840,5424,4656,886,5542,4656,840,5496,4657,840,5497,,,4584,840,5424,4656,886,5542,4656,840,5496,4657,840,5497,,,4584,840,5424,4656,886,5542,4656,840,5496,4657,840,5497,,,1272,1272,1100,1100,,,,,,,,,6007,6007,6007,6007,1911,1911,1911,1911,1911,1911,1911,1911
363916,4656,840,194,4656,840,194,4656,840,194,5112,1052,213,5112,1052,213,5112,1052,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4584,840,5424,4656,886,5542,4656,840,5496,4657,840,5497,,,4584,840,5424,4656,886,5542,4656,840,5496,4657,840,5497,,,4584,840,5424,4656,886,5542,4656,840,5496,4657,840,5497,,,1272,1272,1100,1100,,,,,,,,,6007,6007,6007,6007,1911,1911,1911,1911,1911,1911,1911,1911
363934,16741,720,,16741,720,,16741,720,,17500,720,,17500,720,,17500,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16036,562,16598,16701,621,17322,17681,697,18378,18246,720,18966,0,0,16036,562,16598,16701,621,17322,17681,697,18378,18246,720,18966,0,0,16036,562,16598,16701,621,17322,17681,697,18378,18246,720,18966,0,0,0,0,0,0,8670,9020,9400,9600,800,800,800,800,9000,9000,9000,10800,5000,5000,5000,5500,5000,5000,5000,6000
364016,2040,30,85,2040,30,85,7824,30,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2040,30,2070,2040,30,2070,2040,30,2070,2040,30,2070,,,2040,30,2070,2040,30,2070,2040,30,2070,2040,30,2070,,,7824,30,7854,7824,30,7854,7824,30,7854,7824,30,7854,,,1424,1464,1472,1464,,,,,,,,,8532,8964,9216,8496,7596,8280,8532,10476,7596,8280,8532,10476
364025,2040,30,85,2040,30,85,7824,30,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2040,30,2070,2040,30,2070,2040,30,2070,2040,30,2070,,,2040,30,2070,2040,30,2070,2040,30,2070,2040,30,2070,,,7824,30,7854,7824,30,7854,7824,30,7854,7824,30,7854,,,1424,1464,1472,1464,10500,10440,11100,10310,7596,8280,8532,10476,8532,8964,9216,8496,7596,8280,8532,10476,7596,8280,8532,10476
366003,6840,300,295,6840,300,295,6840,300,295,5310,300,295,5310,300,295,5310,300,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6600,300,6900,6600,300,6900,6840,300,7140,6840,300,7140,,,6600,300,6900,6600,300,6900,6840,300,7140,6840,300,7140,,,6600,300,6900,6600,300,6900,6840,300,7140,6840,300,7140,,,600,600,600,600,,,,,,,,,10097,10320,10320,10323,6579,6724,6724,6723,4591,4700,4680,4707
366252,15120,2490,504,15120,2490,504,22680,2490,756,15120,2490,504,15120,2490,504,22680,2490,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14250,2490,16740,14670,2490,17160,15120,2490,17610,15120,2490,17610,0,,14250,2490,16740,14670,2490,17160,15120,2490,17610,15120,2490,17610,0,,21390,2490,23880,22020,2490,24510,22680,2490,25170,22680,2490,25170,0,,1400,1400,1400,1549,11544,11716,11892,11982,2660,2660,2660,3468,11544,11716,11892,11892,2660,2660,2660,3468,2660,2660,2660,3468
366261,13263,100,179,13263,100,179,13263,100,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13263,100,13363,13263,100,13363,13263,100,13363,13263,100,13363,,,13263,100,13363,13263,100,13363,13263,100,13363,13263,100,13363,,,13263,100,13363,13263,100,13363,13263,100,13363,13263,100,13363,,,,,,,,,,,,,,,12816,12816,15000,15000,6887,6887,10800,10800,3671,3671,4824,4824
366340,1820,825,65,1820,825,65,1820,825,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820,825,2645,1820,825,2645,1820,825,2645,1820,825,2645,,,1820,825,2645,1820,825,2645,1820,825,2645,1820,825,2645,,,1820,825,2645,1820,825,2645,1820,825,2645,1820,825,2645,,,1300,1300,1300,1300,,,,,,,,,7880,7880,7880,7880,6970,6970,6970,6970,6740,6470,6470,6470
366368,,,,,,,,,,39716,1650,1324,39716,1650,1324,39716,1650,1324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366395,5470,800,228,5470,800,228,10940,800,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5220,572,5792,5470,582,6052,5470,507,5977,5470,800,6270,,,5220,572,5792,5470,582,6052,5470,507,5977,5470,800,6270,,,10440,572,11012,10940,582,11522,10940,507,11447,10940,800,11740,,,1500,1500,1500,1500,,,,,,,,,9988,9988,9988,9988,3700,2400,2500,2500,3010,3010,3010,3010
